Arya Bàn Bên Thỉnh Thoảng Lại Trêu Ghẹo Tôi Bằng Tiếng Nga - Tập 2 - Bản Phổ Thông - Tặng Kèm Bookmark Bế Hình + Bìa Áo Bonus,76.000 đ,20%,https://cdn0.fahasa.com/media/catalog/product/6/0/600arya-ban-ben-thinh-thoang-lai-treu-gheo-toi-bang-tieng-nga---tap-2---ban-pho-thong.jpg,https://www.fahasa.com/arya-ban-ben-thinh-thoang-lai-treu-gheo-toi-bang-tieng-nga-tap-2-ban-pho-thong-tang-kem-bookmark-be-hinh-bia-ao-bonus.html
Tiểu Thuyết Thanh Gươm Diệt Quỷ: Người Dẫn Lối Của Gió - Tặng Kèm Card PVC,40.000 đ,20%,https://cdn0.fahasa.com/media/catalog/product/t/i/tieu-thuyet-thanh-guom-diet-quy-nguoi-dan-loi-cua-gio---cuon-thu-3---kem-obi.jpg,https://www.fahasa.com/tieu-thuyet-thanh-guom-diet-quy-nguoi-dan-loi-cua-gio-tang-kem-card-pvc.html
Ai Dám Bảo ROM-COM Không Có Ngoài Đời Thực? - Tập 2 - Bản Đặc Biệt - Tặng Kèm Postcard + Poster,109.810 đ,21%,https://cdn0.fahasa.com/media/catalog/product/z/4/z4093829088731_19b51b7c7e45ec00b451c11471269056_2.jpg,https://www.fahasa.com/ai-dam-bao-rom-com-khong-co-ngoai-doi-thuc-tap-2-ban-dac-biet-tang-kem-postcard-poster.html
"86-EIGHTY SIX- Ep.7 - Bản Sưu Tầm: Tranh Acrylic Có Tem Độc Quyền Của Kadokawa + Postcard Giấy Hai Mặt, Ép Nhũ + Bìa Áo Hai Mặt",261.000 đ,10%,https://cdn0.fahasa.com/media/catalog/product/z/4/z4075993272047_b02bc61197c88a7c8bea5fb9481ccd56_2.jpg,https://www.fahasa.com/86-eighty-six-ep-7-ban-suu-tam-tranh-acrylic-co-tem-doc-quyen-cua-kadokawa-postcard-giay-hai-mat-ep-nhu-bia-ao-hai-mat.html
"86-EIGHTY SIX- Ep.7 - Bản Đặc Biệt - Tặng Kèm Postcard Giấy Hai Mặt, Ép Nhũ",112.500 đ,10%,https://cdn0.fahasa.com/media/catalog/product/z/4/z4075993272047_b02bc61197c88a7c8bea5fb9481ccd56_1.jpg,https://www.fahasa.com/86-eighty-six-ep-7-ban-dac-biet-tang-kem-postcard-giay-hai-mat-ep-nhu.html
Thám Tử Đã Chết - Tập 5 - Bản Đặc Biệt - Tặng Kèm 2 Bookmark + 2 Postcard Lịch + Poster,106.650 đ,21%,https://cdn0.fahasa.com/media/catalog/product/z/4/z4000145889612_fb68f19a2d9ac43702fbbeb63b5980b1_2.jpg,https://www.fahasa.com/tham-tu-da-chet-tap-5-ban-dac-biet-tang-kem-2-bookmark-2-postcard-lich-poster.html
Ai Dám Bảo ROM-COM Không Có Ngoài Đời Thực? - Bản Đặc Biệt - Tặng Kèm Postcard + Flyer,101.910 đ,21%,https://cdn0.fahasa.com/media/catalog/product/z/3/z3699685606376_984f462831930415329e8523b70c3d41_1_1.jpg,https://www.fahasa.com/ai-dam-bao-rom-com-khong-co-ngoai-doi-thuc-ban-dac-biet-tang-kem-postcard-flyer.html
Re:zero - Bắt Đầu Lại Ở Thế Giới Khác 14 - Tặng Kèm Bookmark PVC In Màu,96.000 đ,20%,https://cdn0.fahasa.com/media/catalog/product/b/_/b_a-1-re-14.jpg,https://www.fahasa.com/re-zero-bat-dau-lai-o-the-gioi-khac-14-tang-kem-bookmark-pvc-in-mau.html
Dược Sư Tự Sự (Light-novel) - Tập 1 - Tặng Kèm Obi + Bookmark + Huy Hiệu,88.000 đ,20%,https://cdn0.fahasa.com/media/catalog/product/6/0/600duoc-su-tu-su_tieu-thuyet.jpg,https://www.fahasa.com/duoc-su-tu-su-light-novel-tap-1-tang-kem-obi-bookmark-huy-hieu.html
Re:zero - Bắt Đầu Lại Ở Thế Giới Khác 13 - Tặng Kèm Bookmark PVC In Màu,96.000 đ,20%,https://cdn0.fahasa.com/media/catalog/product/b/i/bia-1---re-13_1.jpg,https://www.fahasa.com/re-zero-bat-dau-lai-o-the-gioi-khac-13-tang-kem-bookmark-pvc-in-mau.html
