titles,discripsion,lastest_Chap,condition,view,follow,link 
Trước Khi Vô Địch Ta Nợ Tình Quá Nhiều,"Thánh tôn Lăng Vân Phong cùng đồng bọn tín nhiệm trải qua đấu tranh sống chết cùng nhau khôi phục nền hòa bình. Vừa muốn hưởng thụ một chút không khí hòa bình thì đột nhiên nhớ ra trước khi mình vô địch thiên hạ thì mình còn nợ tình rất nhiều, còn có cả con. Nợ thì đến lúc phải trả, cô độc một mình ...",Chapter 65,Tình trạng: Đang Cập Nhật,"Lượt xem: 810,515","Lượt theo dõi: 4,310",https://truyenqqhot.com/truyen-tranh/truoc-khi-vo-dich-ta-no-tinh-qua-nhieu-13104
Ta Không Muốn Trùng Sinh Đâu,"Thật sự không nghĩ tới, xã hội tinh anh, Minh tinh độc thân Trần Hán thăng thế mà trùng sinh, tỉnh lại sau giấc ngủ quay lại thành học sinh tốt nghiệp cấp ba. Ngã tư đường Trần Hán thăng cũng tại do dự, bảo tàng nữ hài Thẩm Ấu Sở cùng Bạch Nguyệt Tiêu, hắn sẽ lựa chọn ai?",Chapter 136,Tình trạng: Đang Cập Nhật,"Lượt xem: 2,382,062","Lượt theo dõi: 7,182",https://truyenqqhot.com/truyen-tranh/ta-khong-muon-trung-sinh-dau-12538
Pppppp,"Gakuon Otogami là một nghệ sĩ piano nổi tiếng thế giới, ông có 7 người con nhưng trong số đó chỉ có 6 người được coi là ""thiên tài"". Đây là câu chuyện về cách một người ""tầm thường"" đánh bại một ""thiên tài""",Chapter 64,Tình trạng: Đang Cập Nhật,"Lượt xem: 309,081","Lượt theo dõi: 1,161",https://truyenqqhot.com/truyen-tranh/pppppp-12382
Danchigai,"Câu chuyện xoay quanh Haruki và 4 chị em gái: Mutsuki, Yayoi,Uzuki, và Satsuki. Trong khi cuộc sống của họ có vẻ đơn điệu nhưng thực tế, các chị em gái của Haruki không cho anh cơ hội nghỉ ngơi, còn cụ thể là làm gì thì... *í hị hị hị*.",Chapter 99,Tình trạng: Đang Cập Nhật,"Lượt xem: 237,165","Lượt theo dõi: 1,239",https://truyenqqhot.com/truyen-tranh/danchigai-8919
Tồn Tại Như Một Nữ Hầu,"Khi tôi mở mắt trong khi nấu ramen, tôi thức dậy với tư cách là hầu gái của Nữ hoàng, người được nhà vua đối xử lạnh lùng trong tiểu thuyết BL, nơi Vua là gay, hiệp sĩ là gay, người hầu là gay và người thủ thư cũng là gay. Liệu cô có thể sống sót an toàn sau khi trở thành một hầu gái bình thường, As...",Chapter 99,Tình trạng: Đang Cập Nhật,"Lượt xem: 275,627","Lượt theo dõi: 1,830",https://truyenqqhot.com/truyen-tranh/ton-tai-nhu-mot-nu-hau-10144
Trở Thành Cô Cháu Gái Bị Khinh Miệt Của Gia Tộc Võ Lâm,"Cô xuyên không trở thành một nhân vật chính trong thế giới võ lâm. Cô trở thành BaekRi Yeon, đứa con gái ngốc nghếch và quậy phá của BaekRi Eui Kang, một người thầy chân chính và là người đã dẫn dắt nhân vật nam chính trở thành một anh hùng. Sau khi bất ngờ bị giết, cô mở mắt ra và trở thành một đứa...",Chapter 8,Tình trạng: Đang Cập Nhật,"Lượt xem: 10,853",Lượt theo dõi: 281,https://truyenqqhot.com/truyen-tranh/tro-thanh-co-chau-gai-bi-khinh-miet-cua-gia-toc-vo-lam-13758
Tôi Là Thánh Nữ Giả Mạo Nhưng Các Thần Lại Ám Ảnh Tôi,"Tôi đã xuyên vào cơ thể của thánh nữ giả mạo, người mà 5 năm sau sẽ phải chết khi thánh nữ thật xuất hiện. Chỉ cần gom góp số lương từ công việc thánh nữ thôi thì ít nhất cũng có thể trở thành chủ của một tòa nhà! Thế nên tôi vừa diễn vai thánh nữ vừa lên kế hoạch bỏ trốn, nhưng… “Chọn ta đi, nếu kh...",Chapter 32,Tình trạng: Đang Cập Nhật,"Lượt xem: 249,818","Lượt theo dõi: 1,949",https://truyenqqhot.com/truyen-tranh/toi-la-thanh-nu-gia-mao-nhung-cac-than-lai-am-anh-toi-13210
Sekai Saikyou No Kouei: Meikyuukoku No Shinjin Tansakusha,"  Trợ lý Atobe Arihito ngủ thiếp đi trên chuyến xe bus, trong lúc di chuyển đến nơi nghỉ dưỡng của công ty. Khi tỉnh dậy, anh ta nhận ra mình đã chết vì tai nạn và được hồi sinh ở dị giới - Vương quốc Mê cung. Ngạc nhiên hơn, nhân vật chính của chúng ta đã gặp lại quản lý nghiện công việc, Igarashi...",Chapter 18.5,Tình trạng: Đang Cập Nhật,"Lượt xem: 268,564","Lượt theo dõi: 3,590",https://truyenqqhot.com/truyen-tranh/sekai-saikyou-no-kouei-meikyuukoku-no-shinjin-tansakusha-4786
Được Yêu Thương Mà Còn Ngại Ngùng Sao!,"Một ngày nọ, người mẹ độc ác đã mang theo một cô gái. Cô ấy là con gái của công tước và cũng là nữ chính của bộ truyệnCòn tôi là Melody, nhân vật phản diện đã bị mẹ trừng phạt vì quấy rối nữ chính.Tôi không muốn chết như vậy, vì vậy tôi phải đối xử tốt với cô ấy ngay bây giờ. Tôi cho Loretta ăn, cho...",Chapter 22,Tình trạng: Đang Cập Nhật,"Lượt xem: 44,339",Lượt theo dõi: 622,https://truyenqqhot.com/truyen-tranh/duoc-yeu-thuong-ma-con-ngai-ngung-sao-13801
Tổ Sư Xuất Sơn,"Diệp Tuyệt Vũ, Là một người tu tiên thời xưa, Bế quan suốt 500 năm cuối cùng cũng đã xuất quan! Nhưng lại phát hiện thế giới đã thay đổi rồi...",Chapter 40,Tình trạng: Đang Cập Nhật,"Lượt xem: 293,791","Lượt theo dõi: 2,042",https://truyenqqhot.com/truyen-tranh/to-su-xuat-son-13083
