titles,lastest_Chap,types,views,follows,condition,discription,teasers,links 
Người Nuôi Rồng,Chapter 313,"Thể loại:Action, Manhua, Mystery, Truyện Màu",Lượt xem:38M,Theo dõi:134K,Tình trạng:Đang tiến hành,,//st.nettruyenup.com/data/comics/70/nguoi-nuoi-rong.jpg,https://www.nettruyenup.com/truyen-tranh/nguoi-nuoi-rong-423100
Trợ Lí Siêu Sao,Chapter 33,Tình trạng:Đang tiến hành,Bình luận:119,Ngày cập nhật:4 giờ trước,Lượt xem:101K,"Hoyeon Cheon là trợ lý ở Korean Capital, một công ty tài chính nơi sự nghiệp của cậu đang lâm vào bế tắc. Đêm nọ, khi đang chật vật dọn dẹp tàn cuộc sau buổi karaoke với đồng nghiệp, cậu quyết định hát thêm một bài nữa. Cậu không biết rằng, hồn ma của một ngôi sao - ""đứa trẻ hoang dã của dòng nhạc rock"" Jihyeok Han đã luôn chờ đợi, để tìm một giọng hát hoàn hảo để mang lại ‘aura’ cho cậu ấy…",//st.nettruyenup.com/data/comics/225/tro-li-sieu-sao.jpg,https://www.nettruyenup.com/truyen-tranh/tro-li-sieu-sao-70625
Ta Chẳng Qua Là Một Đại La Kim Tiên,Chapter 317,"Thể loại:Action, Manhua, Truyện Màu",Lượt xem:57M,Theo dõi:139K,Tình trạng:Đang tiến hành,,//st.nettruyenup.com/data/comics/11/ta-chang-qua-la-mot-dai-la-kim-tien.jpg,https://www.nettruyenup.com/truyen-tranh/ta-chang-qua-la-mot-dai-la-kim-tien-284270
Hệ Thống Gánh Con Mạnh Nhất,Chapter 78,Tình trạng:Đang tiến hành,Bình luận:3.152,Ngày cập nhật:6 giờ trước,Lượt xem:4.829K,"Tần Xuyên phát hiện chỉ cần con của mình gây chuyện, hắn liền có thể mạnh lên Thế là kiếp này, hắn bắt đầu troll con của mình đến cùng để tu tiên",//st.nettruyenup.com/data/comics/242/he-thong-ganh-con-manh-nhat.jpg,https://www.nettruyenup.com/truyen-tranh/he-thong-ganh-con-manh-nhat-72946
Phi Lôi Đao Thuật,Chapter 150,Tình trạng:Đang tiến hành,Bình luận:12K,Ngày cập nhật:1 ngày trước,Lượt xem:16M,"Cậu bé mồ côi Ryu-Yeon có thể điêu khắc gỗ thành những tác phẩm điêu khắc phức tạp tuyệt vời. Một ngày nọ, sau khi hoàn thành tác phẩm điêu khắc bức tượng cha mẹ mình, cậu gặp một người đàn ông lớn tuổi bí ẩn. Ông ta rất ấn tượng với tác phẩm điêu khắc của cậu.",//st.nettruyenup.com/data/comics/193/phi-loi-dao-thuat-2644.jpg,https://www.nettruyenup.com/truyen-tranh/phi-loi-dao-thuat-352652
Isekai Cheat Magic Swordsman,Chapter 23,Tình trạng:Đang tiến hành,Bình luận:908,Ngày cập nhật:5 giờ trước,Lượt xem:2.124K,"Một nhà thám hiểm cấp 1, lên cấp với tốc độ bùng nổ với các kỹ năng và sức mạnh ma thuật vượt trội ? Kaede Suzumiya, một game thủ, đã ngủ gật khi chơi cả đêm và khi tỉnh dậy, anh thấy mình đang ở một thế giới khác, một thế giới tưởng tượng nơi có thể sử dụng phép thuật! Sử dụng kiến thức của mình về trò chơi, kỹ năng và các trò gian lận có được trong thế giới mới này, anh ấy quyết định tận hưởng cuộc sống mới của mình thông qua ma thuật và kiếm thuật ! Đây là một câu chuyện phiêu lưu từ Shinkou Shotou (Progressive Islands), cùng một công ty đã mang đến cho bạn ""Shikkaku Mon no Saikyou Kenja"", ""Tensei Kenja no Isekai Life"" và ""Isekai Kenja no Tensei Musou""!",//st.nettruyenup.com/data/comics/211/isekai-cheat-magic-swordsman.jpg,https://www.nettruyenup.com/truyen-tranh/isekai-cheat-magic-swordsman-340030
Isekai Cheat Magic Swordsman,Chapter 23,Tình trạng:Đang tiến hành,Bình luận:908,Ngày cập nhật:5 giờ trước,Lượt xem:2.124K,"Một nhà thám hiểm cấp 1, lên cấp với tốc độ bùng nổ với các kỹ năng và sức mạnh ma thuật vượt trội ? Kaede Suzumiya, một game thủ, đã ngủ gật khi chơi cả đêm và khi tỉnh dậy, anh thấy mình đang ở một thế giới khác, một thế giới tưởng tượng nơi có thể sử dụng phép thuật! Sử dụng kiến thức của mình về trò chơi, kỹ năng và các trò gian lận có được trong thế giới mới này, anh ấy quyết định tận hưởng cuộc sống mới của mình thông qua ma thuật và kiếm thuật ! Đây là một câu chuyện phiêu lưu từ Shinkou Shotou (Progressive Islands), cùng một công ty đã mang đến cho bạn ""Shikkaku Mon no Saikyou Kenja"", ""Tensei Kenja no Isekai Life"" và ""Isekai Kenja no Tensei Musou""!",//st.nettruyenup.com/data/comics/211/isekai-cheat-magic-swordsman.jpg,https://www.nettruyenup.com/truyen-tranh/isekai-cheat-magic-swordsman-340030
Chiêu Hồn Giả Siêu Phàm,Chapter 22,"Thể loại:Action, Manhwa, Truyện Màu",Lượt xem:792K,Theo dõi:24K,Tình trạng:Đang tiến hành,Tôi chưa bao giờ nghĩ mình có thể trở thành một thợ săn. Tôi chưa bao giờ nghĩ mình sẽ có cơ hội. Nhưng rồi... 'Tháp thử thách' đã chọn tất cả các ứng cử viên phù hợp từ Trái đất.  Vui lòng chọn độ khó của bạn.  Phần thưởng bạn nhận được sẽ tỷ lệ thuận với độ khó bạn đã chọn.  Tôi đã được trao một cơ hội ngay bây giờ.,//st.nettruyenup.com/data/comics/113/chieu-hon-gia-sieu-pham.jpg,https://www.nettruyenup.com/truyen-tranh/chieu-hon-gia-sieu-pham-75889
Người Trái Đất Quả Thật Rất Tàn Ác,Chapter 158,Tình trạng:Đang tiến hành,Bình luận:8.467,Ngày cập nhật:6 giờ trước,Lượt xem:17M,,//st.nettruyenup.com/data/comics/16/nguoi-trai-dat-qua-that-rat-tan-ac.jpg,https://www.nettruyenup.com/truyen-tranh/nguoi-trai-dat-qua-that-rat-tan-ac-522400
Võ Luyện Đỉnh Phong,Chapter 3112,Tình trạng:Đang tiến hành,Bình luận:323K,Ngày cập nhật:5 giờ trước,Lượt xem:808M,"Võ đạo đỉnh phong, là cô độc, là tịch mịch, là dài đằng đẵng cầu tác, là cao xử bất thắng hàn Phát triển trong nghịch cảnh, cầu sinh nơi tuyệt địa, bất khuất không buông tha, mới có thể có thể phá võ chi cực đạo. Lăng Tiêu các thí luyện đệ tử kiêm quét rác gã sai vặt Dương Khai ngẫu lấy được một bản vô tự hắc thư, từ nay về sau đạp vào dài đằng đẵng võ đạo.",//st.nettruyenup.com/data/comics/32/vo-luyen-dinh-phong.jpg,https://www.nettruyenup.com/truyen-tranh/vo-luyen-dinh-phong-176960
Watari-kun no xx ga Houkai Sunzen,Chapter 69,Tác giả:Narumi Naru,Lượt xem:2.019K,Theo dõi:15K,Tình trạng:Đang tiến hành,"Từ khi cha mẹ qua đời, trong tâm cuộc sống của Watari Naoto xoay quanh em gái mình. Cậu bỏ hết mọi hoạt động ngoại khóa để dành thời gian cho em gái, khiến bạn bè cho rằng cậu là một tên sis con. Nhưng miễn là em gái mình được hạnh phúc, cậu sẵn sàng bỏ ngoài tai tất cả mọi nhận xet không hay về mình. Tuy nhiên cuộc sống ấy của cậu lại một lần nữa bị đe dọa bởi cơn ác mộng đã phá tan khoảnh khắc hạnh phúc của cậu cách đây 6 năm... Một cậu học sinh bị cưỡng... hôn đến chết. Hết.",//st.nettruyenup.com/data/comics/207/watari-kun-no-xx-ga-houkai-sunzen.jpg,https://www.nettruyenup.com/truyen-tranh/watari-kun-no-xx-ga-houkai-sunzen-60950
Đừng mơ rằng tôi sẽ tin tưởng cô một lần nữa,Chapter 26.2,Tình trạng:Đang tiến hành,Bình luận:74,Ngày cập nhật:6 giờ trước,Lượt xem:114K,,//st.nettruyenup.com/data/comics/149/dung-mo-rang-toi-se-tin-tuong-co-mot-lan-5318.jpg,https://www.nettruyenup.com/truyen-tranh/dung-mo-rang-toi-se-tin-tuong-co-mot-lan-nua-80021
Cho Con Núm Vú Đi Mà,Chapter 54.2,"Thể loại:Chuyển Sinh, Comedy, Manhwa, Ngôn Tình, Truyện Màu",Lượt xem:4.425K,Theo dõi:54K,Tình trạng:Đang tiến hành,,//st.nettruyenup.com/data/comics/155/cho-con-num-vu-di-ma.jpg,https://www.nettruyenup.com/truyen-tranh/cho-con-num-vu-di-ma-628767
Hồi Quy Giả,Chapter 31,Tình trạng:Đang tiến hành,Bình luận:793,Ngày cập nhật:1 ngày trước,Lượt xem:1.123K,"[Bạn có muốn đảo ngược thời gian không? ] “Ngày 28 tháng 2 năm 1985. Ngày tôi được sinh ra.” Trong một tương lai không xa, trong một chiều không gian bị xé nát, quái vật xuất hiện và con người thức tỉnh. Một kỷ nguyên hỗn loạn nơi những kẻ thức tỉnh và quái vật bị cuốn vào nhau. Sau khi Nasun trở lại thời điểm anh được sinh ra trong cuộc khủng hoảng của cái chết ... ""Mọi người sẽ được cứu. Không ai bị lạc mất."" Trước khi ngày tận thế bắt đầu, Anh phải chuẩn bị xong mọi thứ bằng cách tích lũy của cải và tấn công các ngục tối trên khắp thế giới!",//st.nettruyenup.com/data/comics/20/hoi-quy-gia.jpg,https://www.nettruyenup.com/truyen-tranh/hoi-quy-gia-75284
Thay Đổi Tôi,Chapter 26,"Thể loại:Drama, Manhwa, Romance, Truyện Màu, Webtoon",Tình trạng:Đang tiến hành,Bình luận:157,Tác giả:Lee Jiho - Hotti,"Điều gì sẽ xảy ra nếu tôi có thể sống với vẻ ngoài mà mình mong muốn chỉ sau một đêm, như một điều kiện để mua một hợp đồng bảo hiểm nhân thọ đáng ngờ?Đánh cắp một khuôn mặt để thay đổi cuộc sống của bạn!",//st.nettruyenup.com/data/comics/251/thay-doi-toi.jpg,https://www.nettruyenup.com/truyen-tranh/thay-doi-toi-77819
Mairimashita! Iruma-kun,Chapter 290,"Thể loại:Comedy, Drama, Fantasy, Manga, Mystery, School Life, Shounen, Supernatural",Lượt xem:80M,Theo dõi:191K,Tình trạng:Đang tiến hành,"Mairimashita! Iruma-kun là câu chuyện kể về cậu bé Suzuki Iruma, người đã bị bố mẹ mình kí khế ước bán cho ác ma để đổi lấy tiền tài và bình an. Cậu bé Iruma đáng thương từ lúc mới biết đi (1 tuổi) đã phải ""ra xã hội"" lăn lộn, buôn ba khắp nơi với hai vị phụ huynh ""tưng tửng"" cho đến ngày một Ác Ma đến rước cậu đến Ma giới theo khế ước. Tưởng chừng như sắp vào bụng quỷ thì vị Ác Ma già nua này đã khóc lóc yêu cầu cậu làm cháu trai ông ta, với bản tính lương thiện và tốt bụng đến cả bản thân mình cũng phải kinh ngạc, cậu bất đắc dĩ đã đồng ý lời đề nghị đó và nhập học trường Ác Ma theo ý ông ta. Chuyện gì sẽ xảy ra tiếp theo, mời các bạn theo dõi cuộc sống học đường đầy bất thường của Iruma-kun.",//st.nettruyenup.com/data/comics/113/mairimashita-iruma-kun.jpg,https://www.nettruyenup.com/truyen-tranh/mairimashita-iruma-kun-159850
Chiến Thần Bất Tử,Chapter 24,Tình trạng:Đang tiến hành,Bình luận:264,Ngày cập nhật:7 giờ trước,Lượt xem:336K,,//st.nettruyenup.com/data/comics/126/chien-than-bat-tu.jpg,https://www.nettruyenup.com/truyen-tranh/chien-than-bat-tu-73598
Tiểu Thư Bị Ám Sát!,Chapter 45,"Thể loại:Action, Comedy, Manga, Romance, Seinen",Lượt xem:1.614K,Theo dõi:18K,Tình trạng:Đang tiến hành,"Trong thế giới mà chỉ có những quý tộc có khả năng chiến đấu với quái vật - mana. Một thanh niên tên là Kufa được phái đến làm giáo viên dạy kèm để tìm tài năng của Melida, một cô gái phiền toái sinh ra trong gia đình quý tộc. Nếu cô ấy không có tài, ám sát cô ấy. - đó là nhiệm vụ của cậu.",//st.nettruyenup.com/data/comics/50/tieu-thu-bi-am-sat.jpg,https://www.nettruyenup.com/truyen-tranh/tieu-thu-bi-am-sat-166900
Sư Phụ Ta Max 100 Triệu Điểm Mọi Thứ,Chapter 12,Tình trạng:Đang tiến hành,Bình luận:213,Ngày cập nhật:7 giờ trước,Lượt xem:294K,"Nam chính vốn là một lập trình viên, nhưng lại ngoài ý muốn bất tỉnh, trùng sinh ở Huyền Hoàng Đại Thế Giới, trở thành Bạch Phong phái đỉnh 100 đỉnh phong cao thủ. Hệ thống được phát triển trong suốt cuộc đời của anh ấy cũng đã đến thế giới này cùng anh ta, hãy xem Trương Đạo Lăng này có thể làm được gì ở thế giới này!",//st.nettruyenup.com/data/comics/92/su-phu-ta-max-100-trieu-diem-moi-thu.jpg,https://www.nettruyenup.com/truyen-tranh/su-phu-ta-max-100-trieu-diem-moi-thu-79708
Ta Trời Sinh Đã Là Nhân Vật Phản Diện,Chapter 73,"Thể loại:Manhua, Mystery, Truyện Màu, Xuyên Không",Lượt xem:23M,Theo dõi:260K,Tình trạng:Đang tiến hành,"Cố Trường Ca xuyên không trở thành nhân vật phản diện, làm thiếu chủ một trường sinh thế gia, hắn phải đối mặt với đủ loại motip nhân vật chính: khí vận chi tử quật khởi; tiểu muội muội phiên bản tuổi nhỏ của Hoang Thiên đế có thâm thù đại hận với hắn; vị hôn thê xuyên không từ 3000 năm sau về trả thù; truyền nhân của Cổ Thiên Tôn, cường giả trọng sinh đoạt xá sống lại; chí cường giả luân hồi chuyển thế; Đế tử trùng sinh, thánh nữ là người xuyên không từ địa cầu ( đồng hương); nhóm người xuyên không từ hành tinh khác tới - phiên bản của Diệp Thiên Đế trong Già Thiên.... Hắn thân phụ hệ thống Cướp đoạt khí vận, tu luyện Thôn Tiên Ma Công, lấy thôn phệ tu vi, bản nguyên để tu luyện. Hãy cùng theo dõi bộ truyện: ""Ta! Thiên mệnh đại nhân vật phản phái"" để xem Cố Trường Ca làm thế nào để hoá giải thù hận của muội muội và vị hôn thê, từng bước đưa từng khí vận chi tử vào thế thanh bại danh liệt, nêu cao lá cờ chính nghĩa để mưu đồ cá nhân tính kế cả thiên hạ trong lòng bàn tay, đi đến đỉnh phong của nhân vật phản diện!",//st.nettruyenup.com/data/comics/235/ta-troi-sinh-da-la-nhan-vat-phan-dien.jpg,https://www.nettruyenup.com/truyen-tranh/ta-troi-sinh-da-la-nhan-vat-phan-dien-522030
Lần Nữa Chuyển Sinh Sang Thế Giới Khác,Chapter 19,Tình trạng:Đang tiến hành,Bình luận:539,Ngày cập nhật:8 giờ trước,Lượt xem:431K,"Khi Trái tim của Vua bị thiêu rụi, một sinh vật vượt qua số phận của thế giới này sẽ đến vùng đất này! Chàng trai đến từ Trái đất, Sung Sihan, đã hạ gục một tên bạo chúa và cứu thế giới. Tuy nhiên, kết thúc có hậu của anh ta đã bị cắt ngắn khi mọi thứ bị lấy đi khỏi anh ta, và anh ta bị trục xuất trở lại Trái đất. Sau 10 năm nghiến răng, anh chuẩn bị cho sự trở lại của mình… Người anh hùng đã cứu thế giới sau khi vào lại Terranora!",//st.nettruyenup.com/data/comics/145/lan-nua-chuyen-sinh-sang-the-gioi-khac.jpg,https://www.nettruyenup.com/truyen-tranh/lan-nua-chuyen-sinh-sang-the-gioi-khac-61329
Tôi Vô Địch Sau Khi Xuống Núi,Chapter 40,"Thể loại:Action, Chuyển Sinh, Manhua, Truyện Màu, Xuyên Không",Lượt xem:3.073K,Theo dõi:59K,Tình trạng:Đang tiến hành,"Khổ tu mười năm, một đường tấn thăng đến Nguyên Anh, Lưu mực mới dám xuống núi lịch lãm, nhưng...... Ta mười tám tuổi mới đến Nguyên Anh, mà thế giới này tám tuổi liền có người phi thăng, thiên phú của ta thật sự là quá cùi bắp! Thế giới này thật đáng sợ, khắp nơi trên đất là đại lão ···",//st.nettruyenup.com/data/comics/158/toi-vo-dich-sau-khi-xuong-nui.jpg,https://www.nettruyenup.com/truyen-tranh/toi-vo-dich-sau-khi-xuong-nui-65438
Ta Có Một Sơn Trại,Chapter 539,"Thể loại:Action, Chuyển Sinh, Fantasy, Manhua, Truyện Màu",Lượt xem:71M,Theo dõi:210K,Tình trạng:Đang tiến hành,,//st.nettruyenup.com/data/comics/217/ta-co-mot-son-trai.jpg,https://www.nettruyenup.com/truyen-tranh/ta-co-mot-son-trai-370810
Biên Kịch Gian Lận,Chapter 12,"Thể loại:Fantasy, Manhwa, Shounen, Truyện Màu",Lượt xem:50K,Theo dõi:3.518,Tình trạng:Đang tiến hành,"Jang Yeon-jae là một trợ lý biên kịch năm thứ 6. Anh ta điên cuồng phấn đấ nhưng trước khi ra mắt, giáo viên của anh ta, nhà văn cao cấp Kim Tae-jin đã đánh cắp kịch bản của anh ta. ""Thưa ngài! Làm thế nào anh có thể làm điều này! Đó là nội dung của tôi! ""Yeon jae-ah. Đúng là tôi đã phần nào bị ảnh hưởng bởi suy nghĩ và ý tưởng của anh. Nhưng đó chắc chắn là kịch bản của tôi"". Phẫn nộ và uất ức, Sau khi từ bỏ công việc trợ lý nhà văn, anh ta đã tìm mọi cách để đánh bại Kim Tae-jin, nhưng dường như không có hy vọng nào . Nhưng ngay lúc đó... Một phép màu  đã xảy ra. [Bạn có thể mua 200 ký tự của kịch bản với xếp hạng 0,1%.] [Khi phát sóng bằng kịch bản này, xếp hạng trung bình dự kiến là 15.2%.] [Bạn có muốn mua không?] [Có / Không] Yêu cầu 'Game bắn súng trên không'! Bộ phim truyền hình được đánh giá cao của trợ lý biên kịch Jang Yeon-jae.",//st.nettruyenup.com/data/comics/105/bien-kich-gian-lan.jpg,https://www.nettruyenup.com/truyen-tranh/bien-kich-gian-lan-76649
Thiên Ma Quân Sư,Chapter 83,"Thể loại:Action, Adventure, Fantasy, Manhwa, Shounen, Truyện Màu",Lượt xem:4.987K,Theo dõi:63K,Tình trạng:Đang tiến hành,"""Sư phụ ơi, bài học tiếp theo là gì ạ?!!!"" Một thảm họa đôt nhiên giáng xuống Trái Đất khiên Hyunsoo, 1 nhân vật chính phải tận mắt chứng kiến cha mẹ mình thiệt mạng. Người thân duy nhất sống sót của cậu là người em trai đang hôn mê. Vì để bảo vệ em trai cậu đã cố gắng hết sức, nhưng chỉ vì là 1 ng hỗ trợ vô năng, cậu luôn phảo chịu đựng sự khinh miệt.... Và đó là lúc vị cứu tinh, Chungyeong, xuất hiện! Chungyeon, 1 cao thủ võ lâm đã du hành thời gian, tới đây để dạy Hyunsoo võ nghệ(?)... ""Này, đồ đệ..."" ""Dạ thưa sư phụ""",//st.nettruyenup.com/data/comics/46/thien-ma-quan-su.jpg,https://www.nettruyenup.com/truyen-tranh/thien-ma-quan-su-540620
Mở Đầu Nữ Đế Làm Chính Cung,Chapter 66,"Thể loại:Fantasy, Manhua, Truyện Màu, Xuyên Không",Tình trạng:Đang tiến hành,Bình luận:10K,Tác giả:Hoaroimuaha,"Người Địa Cầu Tiêu Thiên tại sinh tử tồn vong thời khắc, bị Nữ Đế Tử Nhược Yên triệu hoán đến Đại Viêm vương triều trở thành phu quân của nàng, còn được cái ""Mạnh nhất chí tôn hệ thống"", nhưng Tiêu Thiên chỉ muốn làm một cái Nữ Đế chung cực cơm mềm thân vương a! Cho nên hắn quyết đoán cự tuyệt hệ thống, không nghĩ tới cường hệ thống dĩ nhiên họa phong đột biến thành ""Liếm đầu gối chó hệ thống""?! ( ngài là đến từ siêu cao duy độ vị diện sinh vật! )( bản hệ thống chỉ có thể trở thành của ngài nô lệ! )( chủ nhân thỉnh khống chế xuống chính mình, ngài có thể sẽ không cẩn thận đem bản hệ thống gạt bỏ!)",//st.nettruyenup.com/data/comics/235/mo-dau-nu-de-lam-chinh-cung.jpg,https://www.nettruyenup.com/truyen-tranh/mo-dau-nu-de-lam-chinh-cung-77547
Hoa Bỏ Chạy Với Nhím Rồi,Chapter 93,"Thể loại:Manhua, Ngôn Tình, Romance, Truyện Màu",Tình trạng:Đang tiến hành,Bình luận:1.775,Tác giả:Đinh Băng,"Tiểu thư nhà tài phiệt Hoa Mãn Mãn bị chính cha ruột ép đi học đại học nhưng không được tiết lộ thân phận của mình, ở đó cô gặp được một người bình thường - cậu bạn đẹp trai, lạnh lùng và có chút khép kín Hiểu Dạ, hai người đến từ hai thế giới khác nhau liên tục chạm mặt mọi lúc mọi nơi, họ nhận ra rằng ngoại trừ “cái mác” tiểu thư ngốc nghếch hay lạnh lùng khó gần của đối phương ra thì… cô ấy/hắn ta cũng có mặt đáng yêu đấy chứ nhỉ?! Tên truyện: Phu Quân Nuôi Từ Bé Muốn Tiêu Thủ Ta Thì Phải Làm Sao?!!",//st.nettruyenup.com/data/comics/240/hoa-bo-chay-voi-nhim-roi.jpg,https://www.nettruyenup.com/truyen-tranh/hoa-bo-chay-voi-nhim-roi-381280
Hotboy Quốc Dân Là Nữ,Chapter 356,Tình trạng:Đang tiến hành,Bình luận:37K,Ngày cập nhật:9 giờ trước,Lượt xem:64M,"Bề ngoài trong mắt mọi người là một cậu học sinh cao trung bị nghi là gay nhưng thực tế là hacker z nữ cãi nam trang có thể sử dụng internet  từng phá tan lầu năm góc , khiến toàn bộ giới mày râu mở rộng tầm mắt .khiến chị em phụ nữ mê mệt không buông .đến khi mọi người phát hiện ra ,nàng vốn dĩ là nữ .thế giới như sôi trào.phó cửu :tần đại thần .anh có bạn gái không ?tần mạc buông notebook xuống :không có .phó cữu :nhếch miệng khiêu khích :vậy từ nay anh thuộc về emtần mạc :bá đạo cúi đầu .phó cửu :này anh làm gì vậy ?tần mạc :anh thực hiện quyền lợi của một người bạn trai .",//st.nettruyenup.com/data/comics/42/hotboy-quoc-dan-la-nu.jpg,https://www.nettruyenup.com/truyen-tranh/hotboy-quoc-dan-la-nu-256420
Học Viện Của Con Trai Quỷ Vương,Chapter 25,"Thể loại:Action, Manhwa, Truyện Màu",Lượt xem:647K,Theo dõi:16K,Tình trạng:Đang tiến hành,,//st.nettruyenup.com/data/comics/124/hoc-vien-cua-con-trai-quy-vuong.jpg,https://www.nettruyenup.com/truyen-tranh/hoc-vien-cua-con-trai-quy-vuong-78204
Vị Hôn Thê Của Kẻ Săn Mồi,Chapter 55,"Thể loại:Drama, Fantasy, Manhwa, Ngôn Tình, Romance, Truyện Màu",Lượt xem:1.909K,Theo dõi:25K,Tình trạng:Đang tiến hành,"“Đáng lẽ ra nàng phải biết chừng mực chứ. Elisha. Nếu nàng không muốn trở thành bộ dạng thế này.” Một thân thể run rẩy, một cánh tay cường tráng ôm chặt lấy thân thể. Một tâm trí đang dần trở nên mông lung. Một tiếng thở dài não lòng nhưng cũng ngọt ngào buông ra trong vô thức. “Bây giờ….. Tình huống này…. Rốt cuộc làm thế nào mà….” Elisha chợt nhớ ra. Điều này chưa từng bao giờ xảy ra trong quá khứ. “Đúng rồi, đúng là vậy.” Một tương lai trở thành người tình giả mạo của một kẻ tựa như ác ma, bị ăn đến tận xương tủy mà chết. Một tương lai tan vỡ thành từng mảnh vụn vì cuộc tranh giành quyền lực của gia đình Công tước Katie. Để tránh tương lai đó, Elisha đã ném mình vào Lucerne, kẻ thù của chủ nhân trong tiền kiếp. Đúng vậy. sẽ không có vấn đề gì đâu. Vì dù là trước hay sau khi quay ngược trở về quá khứ, thì hắn ta này cũng đã nổi tiếng là một kẻ điên cuồng bậc nhất ở Đế quốc rồi.",//st.nettruyenup.com/data/comics/132/vi-hon-the-cua-ke-san-moi.jpg,https://www.nettruyenup.com/truyen-tranh/vi-hon-the-cua-ke-san-moi-67204
Sawaranaide Kotesashi-Kun,Chapter 11,"Thể loại:Comedy, Ecchi, Harem, Manga, Romance, School Life, Shounen, Slice of Life, Sports",Tình trạng:Đang tiến hành,Bình luận:274,Tác giả:Shinjou Takuya,"Kotesashi Kouyou là một thanh niên sở hữu kĩ năng xoa bóp (mát xa) tầm bậc thầy. Ước mơ của cậu là trở thành bác sĩ thể thao, và cậu đang nhắm tới học bổng khoa dược của trường. Vì nhà không khá giả mấy nên phải đi làm quản lí khách sạn để trả học phí, nhưng trớ trêu thay, cậu phải chăm sóc các cô gái ở đây để đổi lấy tương lai của cuộc đời mình... Ngắn gọn: Hành trình của thanh niên có kĩ năng xoa bóp cực đỉnh đi chinh phục gái",//st.nettruyenup.com/data/comics/200/sawaranaide-kotesashi-kun.jpg,https://www.nettruyenup.com/truyen-tranh/sawaranaide-kotesashi-kun-426960
Đi Săn Tự Động Bằng Phân Thân,Chapter 34,"Thể loại:Action, Manhwa, Martial Arts, Truyện Màu",Lượt xem:1.517K,Theo dõi:30K,Tình trạng:Đang tiến hành,,//st.nettruyenup.com/data/comics/11/di-san-tu-dong-bang-phan-than.jpg,https://www.nettruyenup.com/truyen-tranh/di-san-tu-dong-bang-phan-than-68875
Cái chết thoải mái của ác nữ công chúa,Chapter 25.2,Tình trạng:Đang tiến hành,Bình luận:241,Ngày cập nhật:1 ngày trước,Lượt xem:578K,,//st.nettruyenup.com/data/comics/146/cai-chet-thoai-mai-cua-ac-nu-cong-chua.jpg,https://www.nettruyenup.com/truyen-tranh/cai-chet-thoai-mai-cua-ac-nu-cong-chua-79250
Tôi Thích Phục Vụ Cho Những Nhân Vật Phản Diện,Chapter 27.2,Tình trạng:Đang tiến hành,Bình luận:255,Ngày cập nhật:1 ngày trước,Lượt xem:626K,"...Có kẻ điên đứng trước cửa nhà tôi"" Nhà tôi là nơi bán những mặc hàng trang sức. Và tôi có một khả năng chữa trị đặc biệt, tôi cảm thấy đó là lời nguyền hơn là phước lành. Vì điều đó mà có ai đó thường xuyên đưa người bị thương đến trước nhà tôi. ""Không phải lần trước cậu đã cứu thủ lĩnh ám sát sao?” ""Người đó thực ra là nữ"" ""“Ồ, còn tên cho vay nặng lãi độc ác sở hữu ngôi nhà trị giá một tỷ mác trên đại lộ số 2 thì sao?” ""Người đó cũng là nữ"" ""Vậy còn vị quý tộc đã đến trước cửa nhà cậu bằng một chiếc xe ngựa lộng lẫy"" ""Cô ấy là một tiểu thư trẻ"" Và ngày người thứ 6 được đưa đến, đây là lần đầu đưa một người đàn ông đến. Thêm vào đó, anh ta là một mỹ nam! ""Cởi ra đi"" ""Hả? Hả? A...Ý cô là chiếc mắt kính này à?"" Người đàn ông đó là một nhân vật phản diện trong cuốn tiểu thuyết, anh ta có nhân cách hoàn toàn khác nhau giữa ngày và đêm. Nhưng người đàn ông này, người đàn ông luôn trong sáng và ngây thơ vào ban ngày. Khi đêm xuống... ""Sao? Em bảo tôi cởi ra cơ mà. Lần này em muốn cởi phần nào đây?",//st.nettruyenup.com/data/comics/152/toi-thich-phuc-vu-cho-nhung-nhan-vat-pha-5956.jpg,https://www.nettruyenup.com/truyen-tranh/toi-thich-phuc-vu-cho-nhung-nhan-vat-phan-dien-78232
Mong Chờ Giây Phút Thiêng Liêng Được Chạm Tới Người,Chapter 26.2,Tình trạng:Đang tiến hành,Bình luận:278,Ngày cập nhật:10 giờ trước,Lượt xem:933K,,//st.nettruyenup.com/data/comics/68/mong-cho-giay-phut-thieng-lieng-duoc-cha-7829.jpg,https://www.nettruyenup.com/truyen-tranh/mong-cho-giay-phut-thieng-lieng-duoc-cham-toi-nguoi-71748
