titles,lastest_Chap,types,views,follows,condition,discription,teasers,links 
Tồn tại như một nữ hầu,Chapter 99,"Thể loại:Drama, Fantasy, Historical, Manhwa, Ngôn Tình, Romance, Webtoon",Tình trạng:Đang tiến hành,Bình luận:1.212,Tác giả:Heeseo - Khôi Quỷ Các - Nettruyen,"Truyện được dịch bởi Khôi Quỷ Các, reup sau page Khôi Quỷ Các 1 chap. Truyện ra vào thứ 4 và thứ 7 hàng tuần. Khi tôi mở mắt trong khi nấu ramen, tôi thức dậy với tư cách là hầu gái của Nữ hoàng, người được nhà vua đối xử lạnh lùng trong tiểu thuyết BL, nơi Vua là gay, hiệp sĩ là gay, người hầu là gay và người thủ thư cũng là gay. Liệu cô có thể sống sót an toàn sau khi trở thành một hầu gái bình thường, Ash, người không phải là nhân vật chính? Một người hầu sẽ tồn tại như thế nào?",//st.nettruyenup.com/data/comics/54/ton-tai-nhu-mot-nu-hau.jpg,https://www.nettruyenup.com/truyen-tranh/ton-tai-nhu-mot-nu-hau-310313
Ta Không Muốn Trùng Sinh Đâu,Chapter 136,Tình trạng:Đang tiến hành,Bình luận:22K,Ngày cập nhật:3 giờ trước,Lượt xem:13M,"Thật sự không nghĩ tới, xã hội tinh anh, Minh tinh độc thân Trần Hán thăng thế mà trùng sinh, tỉnh lại sau giấc ngủ quay lại thành học sinh tốt nghiệp cấp ba. Ngã tư đường Trần Hán thăng cũng tại do dự, bảo tàng nữ hài Thẩm Ấu Sở cùng Bạch Nguyệt Tiêu, hắn sẽ lựa chọn ai?",//st.nettruyenup.com/data/comics/249/ta-khong-muon-trung-sinh-dau.jpg,https://www.nettruyenup.com/truyen-tranh/ta-khong-muon-trung-sinh-dau-65017
Được Yêu Thương Mà Còn Ngại Ngùng Sao!,Chapter 22,Tình trạng:Đang tiến hành,Bình luận:415,Ngày cập nhật:2 giờ trước,Lượt xem:446K,"Một ngày nọ, người mẹ độc ác đã mang theo một cô gái. Cô ấy là con gái của công tước và cũng là nữ chính của bộ truyện Còn tôi là Melody, nhân vật phản diện đã bị mẹ trừng phạt vì quấy rối nữ chính. Tôi không muốn chết như vậy, vì vậy tôi phải đối xử tốt với cô ấy ngay bây giờ. Tôi cho Loretta ăn, cho cô ấy ngủ và chơi với cô ấy. Và sau đó phản ứng của cô ấy là…? “Tớ hy vọng sau này Melody sẽ kết hôn với tớ!” Tình cảm vô bờ bến đã khiến tôi cùng cô ấy đến trước mặt công tước và cô ấy nói. “Con sẽ ở cùng với Melody.” Bạn đã gặp ai là một đứa ngốc ‘chỉ vì Melody’ hơn cô ấy chưa? Tại sao tôi lại được yêu thương khi tôi chỉ đủ tử tế để khiến bản thân được sống yên bình chứ….!",//st.nettruyenup.com/data/comics/64/duoc-yeu-thuong-ma-con-ngai-ngung-sao.jpg,https://www.nettruyenup.com/truyen-tranh/duoc-yeu-thuong-ma-con-ngai-ngung-sao-79680
Tổ Sư Xuất Sơn,Chapter 40,Tình trạng:Đang tiến hành,Bình luận:557,Ngày cập nhật:09:14 23/01,Lượt xem:1.703K,"Diệp Tuyệt Vũ, Là một người tu tiên thời xưa, Bế quan suốt 500 năm cuối cùng cũng đã xuất quan! Nhưng lại phát hiện thế giới đã thay đổi rồi...",//st.nettruyenup.com/data/comics/227/to-su-xuat-son-9174.jpg,https://www.nettruyenup.com/truyen-tranh/to-su-xuat-son-71907
Kiếm Lâm,Chapter 8,Tình trạng:Đang tiến hành,Bình luận:62,Ngày cập nhật:22 ngày trước,Lượt xem:24K,,//st.nettruyenup.com/data/comics/118/kiem-lam.jpg,https://www.nettruyenup.com/truyen-tranh/kiem-lam-77174
Nghe nói tôi rất nghèo,Chapter 137,Tác giả:Tô Cảnh,Lượt xem:4.965K,Theo dõi:26K,Tình trạng:Đang tiến hành,"Giọng ca thì trời phú, kiến thức lại uyên thâm, ngoại hình cũng điển trai,... Dư Niên coi như hội tụ những gì tuyệt vời nhất ngoại trừ NGHÈO... Và Không hiểu Dư Niên đã làm gì sai và chọc giận Tạ tổng cao cao tại thượng nhà chúng ta khi nào mà vị tổng tài bá đạo này miệt mài ngày đêm, cực kỳ chuyên cần bôi đen Dư Niên đến vậy, thậm chí danh xưng đệ nhất anti-fan cũng dùng để gọi vị này....",//st.nettruyenup.com/data/comics/80/nghe-noi-toi-rat-ngheo.jpg,https://www.nettruyenup.com/truyen-tranh/nghe-noi-toi-rat-ngheo-336160
Thẻ Bài Của Tôi Có Thể Hợp Thành Vô Hạn,Chapter 5,Tình trạng:Đang tiến hành,Bình luận:63,Ngày cập nhật:16 ngày trước,Lượt xem:30K,,//st.nettruyenup.com/data/comics/226/the-bai-cua-toi-co-the-hop-thanh-vo-han.jpg,https://www.nettruyenup.com/truyen-tranh/the-bai-cua-toi-co-the-hop-thanh-vo-han-77538
Trước Khi Vô Địch Ta Nợ Tình Quá Nhiều,Chapter 65,Tình trạng:Đang tiến hành,Bình luận:4.567,Ngày cập nhật:2 giờ trước,Lượt xem:4.278K,"Thánh tôn Lăng Vân Phong cùng đồng bọn tín nhiệm trải qua đấu tranh sống chết cùng nhau khôi phục nền hòa bình. Vừa muốn hưởng thụ một chút không khí hòa bình thì đột nhiên nhớ ra trước khi mình vô địch thiên hạ thì mình còn nợ tình rất nhiều, còn có cả con. Nợ thì đến lúc phải trả, cô độc một mình từ lúc còn trong bụng mẹ không có kinh nghiệm nuôi dưỡng con cái, hãy xem thánh tôn của chung ta tiến vào chiến trường tình yêu, tình thân như thế nào.....",//st.nettruyenup.com/data/comics/190/truoc-khi-vo-dich-ta-no-tinh-qua-nhieu.jpg,https://www.nettruyenup.com/truyen-tranh/truoc-khi-vo-dich-ta-no-tinh-qua-nhieu-71614
Câu Chuyện Về Đôi Vợ Chồng Nọ,Chapter 25,"Thể loại:Comedy, Manga, Romance, Slice of Life",Tình trạng:Đang tiến hành,Bình luận:416,Tác giả:Sakiyo Cake,"Nàng dâu mang tên Kinu đến sống cùng gia đình nhà chồng Fujidana. Thoạt đầu nhìn chồng là một người nhút nhát, lười biếng, nhưng cô đã bắt đầu tìm hiểu và biết rằng ""chồng mình có trái tim rộng lượng hơn mình nghĩ"".",//st.nettruyenup.com/data/comics/161/cau-chuyen-ve-doi-vo-chong-no.jpg,https://www.nettruyenup.com/truyen-tranh/cau-chuyen-ve-doi-vo-chong-no-418890
Những Ngày Sống Sót Ngoài Đảo Hoang,Chapter 7,Tình trạng:Đang tiến hành,Bình luận:138,Ngày cập nhật:2 giờ trước,Lượt xem:72K,,//st.nettruyenup.com/data/comics/233/nhung-ngay-song-sot-ngoai-dao-hoang.jpg,https://www.nettruyenup.com/truyen-tranh/nhung-ngay-song-sot-ngoai-dao-hoang-77545
