Re:zero - Bắt Đầu Lại Ở Thế Giới Khác 14 - Tặng Kèm Bookmark PVC In Màu,84.000 đ,30%,https://cdn0.fahasa.com/media/catalog/product/b/_/b_a-1-re-14.jpg,https://www.fahasa.com/re-zero-bat-dau-lai-o-the-gioi-khac-14-tang-kem-bookmark-pvc-in-mau.html
Re:zero - Bắt Đầu Lại Ở Thế Giới Khác 13 - Tặng Kèm Bookmark PVC In Màu,84.000 đ,30%,https://cdn0.fahasa.com/media/catalog/product/b/i/bia-1---re-13_1.jpg,https://www.fahasa.com/re-zero-bat-dau-lai-o-the-gioi-khac-13-tang-kem-bookmark-pvc-in-mau.html
"Và Rồi, Tháng 9 Không Có Cậu Đã Tới",74.200 đ,30%,https://cdn0.fahasa.com/skin/frontend/ma_vanese/fahasa/images/ring_loader.svg,https://www.fahasa.com/va-roi-thang-9-khong-co-cau-da-toi.html
Vì Con Gái Tôi Có Thể Đánh Bại Cả Ma Vương - Tập 6 - Tặng Kèm Postcard + Bookmark,98.000 đ,30%,https://cdn0.fahasa.com/skin/frontend/ma_vanese/fahasa/images/ring_loader.svg,https://www.fahasa.com/vi-con-gai-toi-co-the-danh-bai-ca-ma-vuong-tap-6-tang-kem-postcard-bookmark.html
Chào Mừng Đến Lớp Học Đề Cao Thực Lực - Tập 4 - Bản Đặc Biệt - Tặng Kèm Camera Card,84.000 đ,30%,https://cdn0.fahasa.com/skin/frontend/ma_vanese/fahasa/images/ring_loader.svg,https://www.fahasa.com/chao-mung-den-lop-hoc-de-cao-thuc-luc-tap-4-ban-dac-biet-tang-kem-camera-card.html
Vì Con Gái Tôi Có Thể Đánh Bại Cả Ma Vương - Tập 4,90.300 đ,30%,https://cdn0.fahasa.com/skin/frontend/ma_vanese/fahasa/images/ring_loader.svg,https://www.fahasa.com/vi-con-gai-toi-co-the-danh-bai-ca-ma-vuong-tap-4.html
Date A Live - Tập 13 - Nia Creation - Tặng Kèm 2 Bookmark + 1 Postcard,89.600 đ,30%,https://cdn0.fahasa.com/skin/frontend/ma_vanese/fahasa/images/ring_loader.svg,https://www.fahasa.com/date-a-live-tap-13-nia-creation-tang-kem-2-bookmark-1-postcard.html
Vì Con Gái Tôi Có Thể Đánh Bại Cả Ma Vương - Tập 3,83.300 đ,30%,https://cdn0.fahasa.com/skin/frontend/ma_vanese/fahasa/images/ring_loader.svg,https://www.fahasa.com/vi-con-gai-toi-co-the-danh-bai-ca-ma-vuong-tap-3.html
Tiểu Thuyết Thanh Gươm Diệt Quỷ 2: Cánh Bướm Khuyết,40.000 đ,20%,https://cdn0.fahasa.com/skin/frontend/ma_vanese/fahasa/images/ring_loader.svg,https://www.fahasa.com/thanh-guom-diet-quy-2-canh-buom-khuyet.html
Dã Ngoại Nơi Mặt Sau Của Thế Giới - Otherside Picnic 2,108.500 đ,30%,https://cdn0.fahasa.com/skin/frontend/ma_vanese/fahasa/images/ring_loader.svg,https://www.fahasa.com/da-ngoai-noi-mat-sau-cua-the-gioi-otherside-picnic-2.html
Vì Con Gái Tôi Có Thể Đánh Bại Cả Ma Vương - Tập 2 (Tái Bản 2022),98.000 đ,30%,https://cdn0.fahasa.com/skin/frontend/ma_vanese/fahasa/images/ring_loader.svg,https://www.fahasa.com/vi-con-gai-toi-co-the-danh-bai-ca-ma-vuong-tap-2-tai-ban-2022.html
Thám Tử Đã Chết - Tập 1 - Tặng Kèm Bookmark Tròn,83.300 đ,30%,https://cdn0.fahasa.com/skin/frontend/ma_vanese/fahasa/images/ring_loader.svg,https://www.fahasa.com/tham-tu-da-chet-tap-1-tang-kem-bookmark-tron.html
Sword Art Online 23,87.500 đ,30%,https://cdn0.fahasa.com/skin/frontend/ma_vanese/fahasa/images/ring_loader.svg,https://www.fahasa.com/sword-art-online-23.html
Tanya Chiến Ký 3: The Finest Hour - Bản Đặc Biệt - Tặng Kèm Bookmark + 2 Postcard Metalize + Lót Ly,111.300 đ,30%,https://cdn0.fahasa.com/skin/frontend/ma_vanese/fahasa/images/ring_loader.svg,https://www.fahasa.com/tanya-chien-ky-3-the-finest-hour-ban-dac-biet-tang-kem-bookmark-2-postcard-metalize-lot-ly.html
Hành Trình Của Elaina - Tập 11 - Tặng Kèm 03 Bookmark Bế Hình Nhân Vật + 1 Postcard,94.000 đ,20%,https://cdn0.fahasa.com/skin/frontend/ma_vanese/fahasa/images/ring_loader.svg,https://www.fahasa.com/hanh-trinh-cua-elaina-tap-11-tang-kem-03-bookmark-be-hinh-nhan-vat-1-postcard.html
Holmes Ở Kyoto - Tập 7 - Tặng Kèm Postcard,59.500 đ,30%,https://cdn0.fahasa.com/skin/frontend/ma_vanese/fahasa/images/ring_loader.svg,https://www.fahasa.com/holmes-o-kyoto-tap-7-tang-kem-postcard.html
Miền Đất Hứa - The Promised Neverland - Khúc Ca Xưa Của Isabella Và Krone - Tặng Kèm 1 Pop-up Card (Thiết Kế Độc Quyền Cho Phiên Bản Việt Nam),56.000 đ,20%,https://cdn0.fahasa.com/skin/frontend/ma_vanese/fahasa/images/ring_loader.svg,https://www.fahasa.com/mien-dat-hua-the-promised-neverland-khuc-ca-xua-cua-isabella-va-krone-tang-kem-1-pop-up-card-thiet-ke-doc-quyen-cho-phien-ban-viet-nam.html
Cô Nàng Otaku Nhà Tôi - Tập 1 - Tặng Kèm Bookmark + Postcard + Phong Bì Thư Otaku + Sticker,88.200 đ,30%,https://cdn0.fahasa.com/skin/frontend/ma_vanese/fahasa/images/ring_loader.svg,https://www.fahasa.com/co-nang-otaku-nha-toi-tap-1-tang-kem-bookmark-postcard-phong-bi-thu-otaku-sticker.html
Chuyện Tình Thanh Xuân Bi Hài Của Tôi Quả Nhiên Là Sai Lầm - Tập 14 - Bản Đặc Biệt - Tặng Kèm Postcard + 2 Flyer + 2 Thẻ Nhựa,125.300 đ,30%,https://cdn0.fahasa.com/skin/frontend/ma_vanese/fahasa/images/ring_loader.svg,https://www.fahasa.com/chuyen-tinh-thanh-xuan-bi-hai-cua-toi-qua-nhien-la-sai-lam-tap-14-ban-dac-biet-tang-kem-postcard-2-flyer-2-the-nhua.html
Dược Sư Tự Sự (Light-novel) - Tập 2 - Tặng Kèm Bookmark + Postcard Có Chân Đế,77.000 đ,30%,https://cdn0.fahasa.com/skin/frontend/ma_vanese/fahasa/images/ring_loader.svg,https://www.fahasa.com/duoc-su-tu-su-light-novel-tap-2-tang-kem-bookmark-postcard-co-chan-de.html
Thanh Gươm Diệt Quỷ: Đóa Hoa Hạnh Phúc,40.000 đ,20%,https://cdn0.fahasa.com/skin/frontend/ma_vanese/fahasa/images/ring_loader.svg,https://www.fahasa.com/thanh-guom-diet-quy-doa-hoa-hanh-phuc.html
Thế Giới Otome Game Thật Khắc Nghiệt Với Nhân Vật Quần Chúng - Tập 5,90.300 đ,30%,https://cdn0.fahasa.com/skin/frontend/ma_vanese/fahasa/images/ring_loader.svg,https://www.fahasa.com/the-gioi-otome-game-that-khac-nghiet-voi-nhan-vat-quan-chung-tap-5.html
Hội Chứng Tuổi Thanh Xuân - Tập 8 - Bản Giới Hạn - Tặng Kèm Bookmark + Postcard PVC,73.500 đ,30%,https://cdn0.fahasa.com/skin/frontend/ma_vanese/fahasa/images/ring_loader.svg,https://www.fahasa.com/hoi-chung-tuoi-thanh-xuan-tap-8-ban-gioi-han-tang-kem-bookmark-postcard-pvc.html
Miyama - Điệu Nhảy Dành Tặng Riêng Anh - Bản Đặc Biệt - Tặng Kèm Bookmark + 2 Postcard,101.500 đ,30%,https://cdn0.fahasa.com/skin/frontend/ma_vanese/fahasa/images/ring_loader.svg,https://www.fahasa.com/miyama-dieu-nhay-danh-tang-rieng-anh-ban-dac-biet-tang-kem-bookmark-2-postcard.html
"86-EIGHTY SIX- Ep.7 - Bản Sưu Tầm: Tranh Acrylic Có Tem Độc Quyền Của Kadokawa + Postcard Giấy Hai Mặt, Ép Nhũ + Bìa Áo Hai Mặt",261.000 đ,10%,https://cdn0.fahasa.com/skin/frontend/ma_vanese/fahasa/images/ring_loader.svg,https://www.fahasa.com/86-eighty-six-ep-7-ban-suu-tam-tranh-acrylic-co-tem-doc-quyen-cua-kadokawa-postcard-giay-hai-mat-ep-nhu-bia-ao-hai-mat.html
Thế Giới Otome Game Thật Khắc Nghiệt Với Nhân Vật Quần Chúng - Tập 4 - Tặng Kèm Bookmark,125.300 đ,30%,https://cdn0.fahasa.com/skin/frontend/ma_vanese/fahasa/images/ring_loader.svg,https://www.fahasa.com/the-gioi-otome-game-that-khac-nghiet-voi-nhan-vat-quan-chung-tap-4-tang-kem-bookmark.html
Chào Mừng Đến Lớp Học Đề Cao Thực Lực - Tập 3 - Bản Đặc Biệt - Tặng Kèm Camera Card,84.000 đ,30%,https://cdn0.fahasa.com/skin/frontend/ma_vanese/fahasa/images/ring_loader.svg,https://www.fahasa.com/chao-mung-den-lop-hoc-de-cao-thuc-luc-tap-3-ban-dac-biet-tang-kem-camera-card.html
