titles,discripsion,lastest_Chap,condition,view,follow,link 
Tiệm Hoa Hướng Dương Góc Phố,"Hòa Du 18 tuổi thành sinh viên năm nhất. ngày đầu tiên đến thành phố mới liền bị chàng trai lạ khinh bỉ. Trong lúc buồn bã cô ấy đã bị thu hút ánh nhìn đến trước một tiệm hoa góc phố, được vị bà chủ xinh đẹp nhiệt tình dẫn vào tiệm, mong cô ấy có thể trở thành nhân viên làm thêm ở đây. con trai của ...",Chapter 57,Tình trạng: Đang Cập Nhật,"Lượt xem: 131,579","Lượt theo dõi: 1,147",https://truyenqqhot.com/truyen-tranh/tiem-hoa-huong-duong-goc-pho-12320
Rosen Garten Saga,,Chapter 38,Tình trạng: Đang Cập Nhật,"Lượt xem: 698,893","Lượt theo dõi: 3,055",https://truyenqqhot.com/truyen-tranh/rosen-garten-saga-10936
Võng Du Chi Cận Chiến Pháp Sư,"Một võ sư siêu cấp chơi game online nhưng bị người ta chọn lầm làm pháp sư. Với thói quen lấy cứng đối cứng, chơi xáp lá cà, hắn chỉ có thể đâm lao phải theo lao. Thế là hắn quyết định trở thành một pháp sư cận chiến, đem sức mạnh cùng pháp thuật kết hợp lại, mở ra một con đường hoàn toàn mới trong ...",Chapter 458,Tình trạng: Đang Cập Nhật,"Lượt xem: 2,895,619","Lượt theo dõi: 7,704",https://truyenqqhot.com/truyen-tranh/vong-du-chi-can-chien-phap-su-1790
Phá Vỡ Kế Hoạch Của Tra Nam Tôi Về Bên Đại Boss,,Chapter 3,Tình trạng: Đang Cập Nhật,"Lượt xem: 1,790",Lượt theo dõi: 136,https://truyenqqhot.com/truyen-tranh/pha-vo-ke-hoach-cua-tra-nam-toi-ve-ben-dai-boss-13796
A Story About A Very Ordinary Couple,Một câu chuyện về một cặp đôi rất đỗi bình thường,Chapter 19,Tình trạng: Đang Cập Nhật,"Lượt xem: 193,483","Lượt theo dõi: 1,262",https://truyenqqhot.com/truyen-tranh/a-story-about-a-very-ordinary-couple-12487
Horobi No Kuni No Seifukusha: Maou Wa Sekai O Seifuku Suru Youdesu,"Chưa từng cảm nhận được tình yêu gia đình, anh ta được tái sinh ở thế giới khác. Với cái tên mới Yuuri, anh ấy được cha mẹ yêu thương và sống một cuộc sốngl yên bình. Đáng lẽ vậy. Tuy nhiên, vương quốc của Yuuri đã bị đe doạ bởi ""những nhân loại khác"" người thống trị đại lục rộng lớn và đổ nát. Yuur...",Chapter 8,Tình trạng: Đang Cập Nhật,"Lượt xem: 73,936",Lượt theo dõi: 958,https://truyenqqhot.com/truyen-tranh/horobi-no-kuni-no-seifukusha-maou-wa-sekai-o-seifuku-suru-youdesu-12537
Gia Tộc Điệp Viên Yozakura,"Taiyou Asano là 1 học sinh cao trung gặp vấn đề trong việc giao tiếp với mọi người. Bạn thời thơ ấu của cậu ta, Mutsumi Yozakura, là người duy nhất có thể nói chuyện bình thường với Taiyou. Rồi 1 ngày cậu phát hiện ra Mutsumi là thành viên của 1 gia đình điệp viên! Tệ hơn nữa, cô hiện đang phải chịu...",Chapter 138,Tình trạng: Đang Cập Nhật,"Lượt xem: 2,275,262","Lượt theo dõi: 10,677",https://truyenqqhot.com/truyen-tranh/gia-toc-diep-vien-yozakura-8043
Tôi Muốn Độc Chiếm Cô Bạn Gái Lạnh Lùng Của Mình,Ngọt + segs + xiu xíu drama nhẹ cho ngày mới năng động :3,Chapter 20,Tình trạng: Đang Cập Nhật,"Lượt xem: 79,400",Lượt theo dõi: 773,https://truyenqqhot.com/truyen-tranh/toi-muon-doc-chiem-co-ban-gai-lanh-lung-cua-minh-13549
Công Chúa Ashtarte,"“Đế chế Firenze sẽ gặp ánh sáng và bóng tối mới, nhưng bóng tối sẽ nuốt chửng ánh sáng và đưa đế chế đến chỗ hủy diệt.” Trong một gia đình hoàng gia được ca tụng vì những chiếc khóa bạc của họ, mái tóc đen độc đáo của Công chúa Ashtarte ngay lập tức bị coi là điềm xấu. Với việc gia đình xa lánh cô v...",Chapter 32,Tình trạng: Đang Cập Nhật,"Lượt xem: 277,153","Lượt theo dõi: 1,537",https://truyenqqhot.com/truyen-tranh/cong-chua-ashtarte-12633
Thẻ Đăng Nhập Phong Ấn Siêu Cấp,,Chapter 96,Tình trạng: Đang Cập Nhật,"Lượt xem: 910,538","Lượt theo dõi: 4,855",https://truyenqqhot.com/truyen-tranh/the-dang-nhap-phong-an-sieu-cap-11191
"Không Nhường Nữa Ta Chết, Ta Liền Thật Vô Địch","Người xuyên việt Diệp Ninh thu hoạch được kim thủ chỉ, chỉ cần sau khi chết liền có thể trở thành Thiên Đế. Thế là hắn bắt đầu điên cuồng tìm đường chết. Nhưng hắn rất nhanh liền phát hiện thế giới này có độc. Đại Chu Nữ Đế: “Gặp một lần Diệp Ninh lầm cả đời, hắn mà chết, trẫm tuyệt không chịu sống ...",Chapter 61,Tình trạng: Đang Cập Nhật,"Lượt xem: 985,067","Lượt theo dõi: 5,766",https://truyenqqhot.com/truyen-tranh/khong-nhuong-nua-ta-chet-ta-lien-that-vo-dich-12485
Chillin Different World Life Of The Ex-Brave Candidate Was Cheat From Lv2,,Chapter 37,Tình trạng: Đang Cập Nhật,"Lượt xem: 1,527,763","Lượt theo dõi: 12,777",https://truyenqqhot.com/truyen-tranh/chillin-different-world-life-of-the-ex-brave-candidate-was-cheat-from-lv2-7863
Endless Dream,"Ngày 2 / 9 năm XXX những cánh cổng bí ẩn liên tục xuất hiện ở khắp nơi trên thế giới do biến đổi không gian , vì có một số liên kết nên các con quỷ và các dòng yêu quái bị biến dị đã xuất hiện ở Ấn ĐỘ , Mỹ , Việt Nam , Trung Quốc , Iran , và một số nước khác và những con quỷ không ngừng gây ra các v...",Chapter 1,Tình trạng: Đang Cập Nhật,"Lượt xem: 1,026",Lượt theo dõi: 14,https://truyenqqhot.com/truyen-tranh/endless-dream-13782
Tất Cả Chỉ Là Sai Lầm,"Valrose đã tái sinh thành một vai phản diện trong một cuốn sách nọ. Để tránh số mệnh bị hỏa thiêu trên cột, cô tiếp cận người hùng, Nocton Edgar.",Chapter 83,Tình trạng: Đang Cập Nhật,"Lượt xem: 229,301",Lượt theo dõi: 895,https://truyenqqhot.com/truyen-tranh/tat-ca-chi-la-sai-lam-13169
Lục Nhân Thập Tự Giá,"Shun - Một học sinh lớp 6 đã bị nhóm bạn 5 người cùng lớp bắt nạt. Để cha mẹ và em trai không phát hiện, cậu đã luôn tươi cười và nói dối sau khi những trận bắt nạt, nhưng sự bắt nạt ấy càng trở nên tồi tệ hơn....",Chapter 96,Tình trạng: Đang Cập Nhật,"Lượt xem: 2,144,941","Lượt theo dõi: 4,270",https://truyenqqhot.com/truyen-tranh/luc-nhan-thap-tu-gia-10883
Mạt Thế Cùng Bạn Gái Zombie,,Chapter 76,Tình trạng: Đang Cập Nhật,"Lượt xem: 406,193","Lượt theo dõi: 3,533",https://truyenqqhot.com/truyen-tranh/mat-the-cung-ban-gai-zombie-11252
Đại Phụng Đả Canh Nhân,,Chapter 127,Tình trạng: Đang Cập Nhật,"Lượt xem: 1,071,800","Lượt theo dõi: 4,340",https://truyenqqhot.com/truyen-tranh/dai-phung-da-canh-nhan-12047
Vì Muốn Tỏ Tình Với Cô Lễ Tân Nên Tôi Thường Xuyên Lui Tới Guild Rồi Dần Trở Thành Dũng Giả,Vì Muốn Tỏ Tình Với Cô Lễ Tân Nên Tôi Thường Xuyên Lui Tới Guild Rồi Dần Trở Thành Dũng Giả,Chapter 16,Tình trạng: Đang Cập Nhật,"Lượt xem: 201,883","Lượt theo dõi: 2,459",https://truyenqqhot.com/truyen-tranh/vi-muon-to-tinh-voi-co-le-tan-nen-toi-thuong-xuyen-lui-toi-guild-roi-dan-tro-thanh-dung-gia-11906
Khô Cốt Hiệp Sĩ,"""Khiêm tốn! Chính trực! Lòng trắc ẩn! Dũng cảm! Công bằng! Đức hi sinh! Đáng kính! Trung thành!"" Hắn là Lich nhưng cũng là hiệp sĩ. Hắn là Lich nhưng chọn phục vụ phe ánh sáng. ""Không sợ hãi khi đối mặt với kẻ thù! Trung thành và ngay thẳng, sẵn sàng chiến đấu đến chết! Tại sao lại như vậy ư? Vì kẻ ...",Chapter 140,Tình trạng: Đang Cập Nhật,"Lượt xem: 1,413,475","Lượt theo dõi: 4,963",https://truyenqqhot.com/truyen-tranh/kho-cot-hiep-si-12277
Đại Tiểu Thư Có Thể Có Cái Gì Xấu,"Lên kế hoạch nhiều năm, thiên kim bá khí Đồng Duyệt quyết tâm bắt những kẻ đã làm tổn thương mình phải trả giá, nhưng khi xé xác kẻ thù của mình cô liền bị Hàn Thiên Lân ngăn cản, kéo tình nhân vào bí mật của mình nên đối mặt ra sao, Đồng Duyệt tỏ ý, đối phó với anh ta, chỉ cần búng tay một phát là ...",Chapter 175,Tình trạng: Đang Cập Nhật,"Lượt xem: 1,104,568","Lượt theo dõi: 3,560",https://truyenqqhot.com/truyen-tranh/dai-tieu-thu-co-the-co-cai-gi-xau-11486
"Ohayou, Ibarahime","Satoshi - Một học sinh cao trung 16 tuổi làm việc bán thời gian tại một căn biệt thự được bao quanh bởi những bụi hoa hồng. Một cô gái tên Shizu sống tại đó, xuất hiện với dáng vẻ thanh tú nhưng lại khá bừa bộn. Tuy nhiên, có một bí ẩn xoay quanh cô gái ấy: Là người con gái nào đã nhìn Satoshi với á...",Chapter 25,Tình trạng: Đang Cập Nhật,"Lượt xem: 67,874",Lượt theo dõi: 806,https://truyenqqhot.com/truyen-tranh/ohayou-ibarahime-7428
Độc Bộ Tiêu Dao,"Quyến luyến hồng trần. Thần phật tham lam, ta đành phải bước lên đỉnh cao để .....",Chapter 440,Tình trạng: Đang Cập Nhật,"Lượt xem: 6,651,850","Lượt theo dõi: 13,081",https://truyenqqhot.com/truyen-tranh/doc-bo-tieu-dao-9007
Haikyuu,"Hinata Shouyou – nhân vật chính của Haikyuu, kể từ khi xem xong một trận bóng chuyền đã thần tượng và mơ ước trở thành “Người khổng lồ tí hon” rồi gia nhập đội bóng chuyền của trường trung học. Sau khi tìm đủ thành viên, họ đã tham gia giải đấu liên trường, tại đây họ đã chạm trán với “Vua sân đấu” ...",Chapter 355,Tình trạng: Đang Cập Nhật,"Lượt xem: 5,060,309","Lượt theo dõi: 6,466",https://truyenqqhot.com/truyen-tranh/haikyuu-526
Tenkaichi - Thiên Hạ Đệ Nhất Võ Sĩ Đại Hội,"Một câu chuyện với một chuỗi lịch sử hoàn toàn lạ lẫm với lịch sử mà chúng ta đã và đang từng được biết.Oda Nobugana, sau khi hoàn thành đại nghiệp thống nhất thiên hạ, nay chỉ vì muốn nhìn thấy cảnh chém giết đổ máu, đã lập nên một giải đấu nhằm chọn ra người sẽ thay mình trị vì cả thiên hạ, ""TENKA...",Chapter 25,Tình trạng: Đang Cập Nhật,"Lượt xem: 423,694","Lượt theo dõi: 1,787",https://truyenqqhot.com/truyen-tranh/tenkaichi-thien-ha-de-nhat-vo-si-dai-hoi-11299
Chuyển Sinh Không Nghề Nghiệp: Tôi Sẽ Cố Gắng Hết Sức Nếu Tôi Đến Thế Giới Khác,"Đại khái là một thanh niên neet không trẻ mấy sau có cơ hội được làm lại cuộc đời và trong lốt một thằng nhóc, anh ấy bắt đầu xây dựng.... harem cho tương lai thằng nhóc đó (mà thằng nhóc đó chính là ảnh)",Chapter 87,Tình trạng: Đang Cập Nhật,"Lượt xem: 9,268,848","Lượt theo dõi: 25,436",https://truyenqqhot.com/truyen-tranh/chuyen-sinh-khong-nghe-nghiep-toi-se-co-gang-het-suc-neu-toi-den-the-gioi-khac-642
Sakamoto Days,"Taro Sakamoto là sát thủ huyền thoại , được các nhân vật phản diện khiếp sợ và các sát thủ ngưỡng mộ. Nhưng một ngày ... anh đã yêu! Giải nghệ, kết hôn, làm cha và sau đó ... Sakamoto đã trở thành con lợn sề ! Anh chàng mũm mĩm điều hành cửa hàng hàng xóm thực sự là một cựu sát thủ huyền thoại giấu ...",Chapter 104,Tình trạng: Đang Cập Nhật,"Lượt xem: 3,863,270","Lượt theo dõi: 11,594",https://truyenqqhot.com/truyen-tranh/sakamoto-days-10560
Yamada To Sensei,"Yamada, một nữ sinh trung học tốt bụng, vô tình gặp Takahashi, một giáo viên trung học trầm cảm đang nghỉ ngơi trong rừng. Lạc trong thế giới của riêng họ, Yamada giúp Takahashi vượt qua những vấn đề của mình với sự ấm áp...",Chapter 10,Tình trạng: Đang Cập Nhật,"Lượt xem: 36,782",Lượt theo dõi: 333,https://truyenqqhot.com/truyen-tranh/yamada-to-sensei-13657
Kare Ni Irai Shite Wa Ikemasen,,Chapter 9,Tình trạng: Đang Cập Nhật,"Lượt xem: 28,875",Lượt theo dõi: 202,https://truyenqqhot.com/truyen-tranh/kare-ni-irai-shite-wa-ikemasen-5828
Ta Không Muốn Trùng Sinh Đâu,"Thật sự không nghĩ tới, xã hội tinh anh, Minh tinh độc thân Trần Hán thăng thế mà trùng sinh, tỉnh lại sau giấc ngủ quay lại thành học sinh tốt nghiệp cấp ba. Ngã tư đường Trần Hán thăng cũng tại do dự, bảo tàng nữ hài Thẩm Ấu Sở cùng Bạch Nguyệt Tiêu, hắn sẽ lựa chọn ai?",Chapter 126,Tình trạng: Đang Cập Nhật,"Lượt xem: 2,225,532","Lượt theo dõi: 6,940",https://truyenqqhot.com/truyen-tranh/ta-khong-muon-trung-sinh-dau-12538
Cuộc Hôn Nhân Này Dù Sao Cũng Sẽ Tan Vỡ Mà Thôi,"Khi Inés sáu tuổi để mắt đến người thừa kế đẹp trai của House Escalante, cô đã nhanh chóng biến cậu bé trở thành hôn phu của mình. Vì những người đàn ông quý tộc đều giống nhau, cô ấy nghĩ rằng cô ấy cũng có thể chọn một người đẹp. Nhưng Lord Cárcel vẫn chưa sẵn sàng cho loại cam kết này, và anh ấy ...",Chapter 38,Tình trạng: Đang Cập Nhật,"Lượt xem: 339,807","Lượt theo dõi: 1,845",https://truyenqqhot.com/truyen-tranh/cuoc-hon-nhan-nay-du-sao-cung-se-tan-vo-ma-thoi-12479
Đừng Khóc,"gười ngoài chỉ biết đại tiểu thư Đường Lạc Thiển, bề ngoài xinh đẹp, tương lai còn có hôn ước với thiếu gia Lạc gia Lạc Trạm, người người ngưỡng mộ. Ít ai biết rằng Đường gia còn có một cô con gái mắt bị mù, là Đường Nhiễm. Món quà sinh nhật năm 16 tuổi của Đường Nhiễm là một người máy kỹ thuật sinh...",Chapter 121,Tình trạng: Hoàn Thành,"Lượt xem: 715,825","Lượt theo dõi: 4,190",https://truyenqqhot.com/truyen-tranh/dung-khoc-10037
Bản Kiếm Tiên Tuyệt Không Làm Nô,"Sở Nhiên- đẹp trai độc miệng “Bậc thầy xoa dịu trái tim tan vỡ của thiếu nữ” thường xuyên giúp nhóm mỹ nữ bị phụ tình xử lý tra nam, vì vậy nên bị đám tra nam dẫn theo đám con gái xấu xí trả thù. Vào thời khắc mấu chốt, hệ thống Kiếm Tiên xuất hiện, Sở Nhiên xuyên đến một thế giới nữ tôn tu tiên. Ti...",Chapter 61,Tình trạng: Đang Cập Nhật,"Lượt xem: 780,439","Lượt theo dõi: 4,909",https://truyenqqhot.com/truyen-tranh/ban-kiem-tien-tuyet-khong-lam-no-11273
Anh Ấy Rất Hay Trêu Chọc Tôi,"Ngày đầu tiên học bá chăm ngoan Tần Tình chuyển trường, ngoài ý muốn cuốn vào một trận đánh nhau đã được hẹn trước, Tần Tình dùng kế cứu học trưởng đang bị vây công, thật không ngờ học trưởng lại là Văn Dục Phong đại ca của trường người người nghe thấy đều phải khiếp sợ. Từ đó cuộc sống vườn trường ...",Chapter 54,Tình trạng: Đang Cập Nhật,"Lượt xem: 539,696","Lượt theo dõi: 4,749",https://truyenqqhot.com/truyen-tranh/anh-ay-rat-hay-treu-choc-toi-10381
Thám Tử Fuuto,,Chapter 95,Tình trạng: Đang Cập Nhật,"Lượt xem: 749,879","Lượt theo dõi: 1,627",https://truyenqqhot.com/truyen-tranh/tham-tu-fuuto-6658
Kĩ Nguyên Của Anh Hùng,,Chapter 125,Tình trạng: Đang Cập Nhật,"Lượt xem: 1,070,059","Lượt theo dõi: 4,058",https://truyenqqhot.com/truyen-tranh/ki-nguyen-cua-anh-hung-9552
Khánh Dư Niên,"Thiếu niên Phạm Nhàn có thân thế thần bí, từ khi mới chào đời ở Đam Châu, trải qua đủ loại khảo nghiệm, rèn luyện của gia tộc, giang hồ, miếu đường, từng bước vạch trần chân tướng phức tạp của thế giới này...",Chapter 14,Tình trạng: Đang Cập Nhật,"Lượt xem: 43,899",Lượt theo dõi: 959,https://truyenqqhot.com/truyen-tranh/khanh-du-nien-13625
Player,,Chapter 47,Tình trạng: Đang Cập Nhật,"Lượt xem: 60,334",Lượt theo dõi: 367,https://truyenqqhot.com/truyen-tranh/player-9345
Ottoman: Ông Chồng Quốc Dân,"Soya là một nhân viên văn phòng, suốt ngày chỉ trải qua chuỗi ngày vô vị lặp đi lặp lại,làm con chó cụt đuôi cho sếp lớn , trong khi bản thân lại nuôi dưỡng ước mơ trở thành họa sĩ truyện tranh. Cho đến một ngày,anh bị xe tải đâm nát bét và bị một sinh vật ngoài hành tinh ký sinh vào cơ thể !? Hơn n...",Chapter 22,Tình trạng: Đang Cập Nhật,"Lượt xem: 265,941","Lượt theo dõi: 1,866",https://truyenqqhot.com/truyen-tranh/ottoman-ong-chong-quoc-dan-11507
Ta Ở Hiện Đại Làm Đại Boss,"Cô vốn là nữ tướng đế quốc, vô tình xuyên việt đến hiện đại, bị một hệ thống chó bắt cóc phải làm nhiệm vụ trở thành ngôi sao hàng đầu. Toàn thân vừa khí phách vừa đẹp vừa một cước bước chân vào giới giải trí, tính cách tự giác, tác phong cứng rắn, một đám thao tác thần thánh không theo cách ra bài ...",Chapter 11,Tình trạng: Đang Cập Nhật,"Lượt xem: 33,037",Lượt theo dõi: 588,https://truyenqqhot.com/truyen-tranh/ta-o-hien-dai-lam-dai-boss-13541
Tru Tà,"Truyện chuyển thể tử tiểu thuyết cùng tên. Thiếu niên Tần Hoài khi sinh đã gặp nhiều xui xẻo. Vì muố được sống, đã đấu với số mạng, rơi vào âm mưu càng lúc càng sâu. Cho đến khi đạo trưởng Trương Nhất Thanh xuất hiện, dẫn cậu ta đặt chân vào đạo môn. Tần Hoài tư phi phàm, mặc ý tiêu dao...",Chapter 123,Tình trạng: Đang Cập Nhật,"Lượt xem: 901,692","Lượt theo dõi: 2,449",https://truyenqqhot.com/truyen-tranh/tru-ta-8355
Xuyên Đến Cổ Đại Ta Được Muôn Ngàn Sủng Ái,"Minh Chiêu là linh hồn xuyên không , bị mẹ kế đẩy xuống tháp, đập vào người Chu Thừa Di bị bệnh câm từ nhỏ, nhưng vì một cú đập này mà hắn có thể mở miệng nói chuyện, từ đó về sau hắn liền coi Minh Chiêu là phúc tinh. Chu Thừa Di giải cứu Minh Chiêu khỏi tay mẹ kế độc ác một đường hộ tống cô trở về ...",Chapter 19,Tình trạng: Đang Cập Nhật,"Lượt xem: 49,305",Lượt theo dõi: 593,https://truyenqqhot.com/truyen-tranh/xuyen-den-co-dai-ta-duoc-muon-ngan-sung-ai-13522
Người Bán Hoa Mạnh Nhất,Có anh chàng trai thích đi bán hoa và có một trò chơi có thể làm bất cứ thứ gì mình muốn,Chapter 62,Tình trạng: Đang Cập Nhật,"Lượt xem: 322,669","Lượt theo dõi: 2,100",https://truyenqqhot.com/truyen-tranh/nguoi-ban-hoa-manh-nhat-9458
Hành Trình Truy Thê Mệt Xỉu Của Hoắc Thiếu,,Chapter 4,Tình trạng: Đang Cập Nhật,"Lượt xem: 2,246",Lượt theo dõi: 101,https://truyenqqhot.com/truyen-tranh/hanh-trinh-truy-the-met-xiu-cua-hoac-thieu-13794
Kiếm Tu Imba Nhất Quả Đất,"Sự cố bất ngờ trước đêm khi vương thăng trọng sinh quay lại nguyên khí thiên địa, không cam tâm sự dốt nát tầm thường giống như kiếp trước , sau đó quyết định lên võ đang bái sư , dưới cơ duyên lại bái sư với đại lão của  kiếp trước, không có thích thú, không có sự chúc mừng, chỉ có sư phụ bụng dạ x...",Chapter 167,Tình trạng: Đang Cập Nhật,"Lượt xem: 1,928,671","Lượt theo dõi: 6,673",https://truyenqqhot.com/truyen-tranh/kiem-tu-imba-nhat-qua-dat-11779
Sứ Đồ Vô Hạn Và 12 Chiến Cơ,,Chapter 309,Tình trạng: Đang Cập Nhật,"Lượt xem: 4,123,791","Lượt theo dõi: 10,466",https://truyenqqhot.com/truyen-tranh/su-do-vo-han-va-12-chien-co-10123
Siêu Thần Chế Tạp Sư,,Chapter 110,Tình trạng: Đang Cập Nhật,"Lượt xem: 1,079,507","Lượt theo dõi: 4,885",https://truyenqqhot.com/truyen-tranh/sieu-than-che-tap-su-11529
Thông U Đại Thánh,"Cố thành ý bỏ mình ngoài ý muốn, xuyên không đến một thế giới tiên hiệp chí quái trở thành xuống dốc quý tộc Đại Càn trung dũng Hầu phủ Đại công tử. Vì tránh né di nương ám sát, rời đi kinh thành, gia nhập trừng trị thiên địa Võng Lượng tĩnh đêm ti. Quỷ bí giang hồ, yêu dị nhiều lần ra, triều đình m...",Chapter 106,Tình trạng: Đang Cập Nhật,"Lượt xem: 683,314","Lượt theo dõi: 3,628",https://truyenqqhot.com/truyen-tranh/thong-u-dai-thanh-11340
Đạp Toái Tiên Hà,,Chapter 306,Tình trạng: Đang Cập Nhật,"Lượt xem: 4,074,607","Lượt theo dõi: 8,837",https://truyenqqhot.com/truyen-tranh/dap-toai-tien-ha-7719
Vú Em Tiên Tôn Đi Ở Rể,,Chapter 359,Tình trạng: Đang Cập Nhật,"Lượt xem: 4,420,170","Lượt theo dõi: 9,185",https://truyenqqhot.com/truyen-tranh/vu-em-tien-ton-di-o-re-9198
Vạn Cổ Đệ Nhất Tế,,Chapter 287,Tình trạng: Đang Cập Nhật,"Lượt xem: 5,000,602","Lượt theo dõi: 12,541",https://truyenqqhot.com/truyen-tranh/van-co-de-nhat-te-9609
Player Thần Vực,,Chapter 23,Tình trạng: Đang Cập Nhật,"Lượt xem: 191,742","Lượt theo dõi: 1,821",https://truyenqqhot.com/truyen-tranh/player-than-vuc-12580
Murenase! Shiiton Gakuen,"Học viện Seton, nơi con người và các loài vật khác cùng nhau chung sống và học tập (ôi các bé tai thú <3). Mazama Jin, một thanh niên cực kì ghét động vật (trớ trêu thay con người lại là loài ít nhất ở đây), đang cố gắng có một cuộc sống học đường ngày yên bình, nhưng tiếc thay đời không như là ...",Chapter 115,Tình trạng: Đang Cập Nhật,"Lượt xem: 1,302,937","Lượt theo dõi: 2,998",https://truyenqqhot.com/truyen-tranh/murenase-shiiton-gakuen-3747
