titles,discripsion,lastest_Chap,condition,view,follow,link 
Biên Niên Sử Của Thiên Quỷ,,Chapter 200,Tình trạng: Đang Cập Nhật,"Lượt xem: 2,335,121","Lượt theo dõi: 5,772",https://truyenqqhot.com/truyen-tranh/bien-nien-su-cua-thien-quy-10131
Sự Trở Lại Của Huyền Thoại,"Vì một sự cố mà công ty bảo an Jang Taesan đang làm việc đã phá sản, khiến hắn trở thành một kẻ thất nghiệp lang thang ở phường Noryanjin và mất mạng khi cứu một đứa trẻ khỏi bị xe đâm. Nhưng nhờ vào hành động nghĩa hiệp đó, hắn được trọng sinh, trở ngược về 14 năm trước làm lại cuộc đời. Tuy nhiên,...",Chapter 83,Tình trạng: Đang Cập Nhật,"Lượt xem: 1,559,063","Lượt theo dõi: 6,692",https://truyenqqhot.com/truyen-tranh/su-tro-lai-cua-huyen-thoai-11861
Thiên Kim Độc Phi Trọng Sinh,,Chapter 22,Tình trạng: Đang Cập Nhật,"Lượt xem: 5,290",Lượt theo dõi: 132,https://truyenqqhot.com/truyen-tranh/thien-kim-doc-phi-trong-sinh-13793
Vì Hận Tái Sinh ~Người Phụ Nữ Vì Phục Thù Mà Từ Bỏ Gương Mặt Của Mình~,"Một cô gái với cuộc đời bị lấy đi tất cả mọi thứ do bị bắt nạt, vu oan đã tái sinh thành một người khác và cô quyết định trả thù tất cả những ai đã góp phần đẩy cuộc đời mình vào bước đường cùng! Ichimura Hana, một cô gái sinh ra và lớn lên ở Karafuto, bị bắt nạt dã man tại một trường nữ sinh vì ngo...",Chapter 7,Tình trạng: Đang Cập Nhật,"Lượt xem: 9,713",Lượt theo dõi: 82,https://truyenqqhot.com/truyen-tranh/vi-han-tai-sinh-nguoi-phu-nu-vi-phuc-thu-ma-tu-bo-guong-mat-cua-minh-13738
Vạn Tướng Chi Vương,"Lý lạc, Đệ nhất tướng thuật ngộ tính của học phủ nam phong? Chèn ép đồng bối, nhưng cũng là không tướng trời sinh, dần dần bị các bạn học đá ra phía sau.  Phương pháp giải quyết vấn đề không tướng của ba mẹ của lý lạc để lại  , lại rơi vào nghịch cảnh 5 năm phong hầu , nếu không sẽ chết .  Trong thi...",Chapter 272,Tình trạng: Đang Cập Nhật,"Lượt xem: 2,141,274","Lượt theo dõi: 6,010",https://truyenqqhot.com/truyen-tranh/van-tuong-chi-vuong-11516
"Please Go Home, Akutsu-San!","Ooyama-kun học sinh cá biệt trong lớp Akutsu-san, vì một vài lý do , cô ấy biến nhà anh thành nơi lui tới! Ooyama sẽ làm điều gì đó kinh khủng với cô ấy hay anh sẽ đuổi cô ấy ra ngoài? Nhưng đối phó với cử chỉ dễ thương, đáng yêu của Akutsu-san, trong một không gian chật hẹp như vậy, anh ta chắc sẽ ...",Chapter 133,Tình trạng: Đang Cập Nhật,"Lượt xem: 2,628,604","Lượt theo dõi: 7,026",https://truyenqqhot.com/truyen-tranh/please-go-home-akutsu-san-9413
Võ Luyện Đỉnh Phong,"Võ đạo đỉnh phong, là cô độc, là tịch mịch, là dài đằng đẵng cầu tác, là cao xử bất thắng hàn Phát triển trong nghịch cảnh, cầu sinh nơi tuyệt địa, bất khuất không buông tha, mới có thể có thể phá võ chi cực đạo. Lăng Tiêu các thí luyện đệ tử kiêm quét rác gã sai vặt Dương Khai ngẫu lấy được một...",Chapter 3083,Tình trạng: Đang Cập Nhật,"Lượt xem: 80,127,148","Lượt theo dõi: 39,582",https://truyenqqhot.com/truyen-tranh/vo-luyen-dinh-phong-3926
Thương Nguyên Đồ,"Ta tên Mạnh Xuyên, năm nay mười lăm tuổi, là Đông Ninh phủ ""Kính Hồ đạo viện"" đương đại đại sư huynh.",Chapter 291,Tình trạng: Đang Cập Nhật,"Lượt xem: 3,261,153","Lượt theo dõi: 9,808",https://truyenqqhot.com/truyen-tranh/thuong-nguyen-do-9169
Vạn Cổ Đệ Nhất Thần,"Truyện mô típ cũ nhưng thấy nét vẽ đẹp nên Ốc sẽ theo. Lần đầu dịch truyện thể loại tu tiên cổ trang có gì sai sót mong mọi người ném ít donate, phiếu đọc truyện, vàng... cho đầu óc Ốc thông minh thêm chút. Không sai, càng ném nhiều Ốc sẽ càng thông minh :D Lý Thiên mệnh nằm mơ cũng không thể ngờ đá...",Chapter 171,Tình trạng: Đang Cập Nhật,"Lượt xem: 3,202,343","Lượt theo dõi: 8,210",https://truyenqqhot.com/truyen-tranh/van-co-de-nhat-than-11155
Tu Tiên Giả Đại Chiến Siêu Năng Lực,,Chapter 248,Tình trạng: Đang Cập Nhật,"Lượt xem: 7,691,276","Lượt theo dõi: 19,247",https://truyenqqhot.com/truyen-tranh/tu-tien-gia-dai-chien-sieu-nang-luc-9944
