"[Video, Ảnh Thật]Áo Khoác Nỉ Bông Thêu Hoodie Zip Unisex Nam Nữ Thời Trang Phong Cách Hàn Quốc",₫145.800,Đã bán 4k,Thái Nguyên,https://shopee.vn/-Video-%E1%BA%A2nh-Th%E1%BA%ADt-%C3%81o-Kho%C3%A1c-N%E1%BB%89-B%C3%B4ng-Th%C3%AAu-Hoodie-Zip-Unisex-Nam-N%E1%BB%AF-Th%E1%BB%9Di-Trang-Phong-C%C3%A1ch-H%C3%A0n-Qu%E1%BB%91c-i.36476030.17081278538?sp_atk=761358d7-a4a0-4021-8b6e-97cebadce7d6&xptdk=761358d7-a4a0-4021-8b6e-97cebadce7d6
[Mã FATRANG giảm đến 30k đơn 99k] Áo Khoác Cardigan Kẻ Thoi Form Rộng Đen/ Hồng Chất Nỉ New,₫98.000,"Đã bán 4,5k",Hà Nội,https://shopee.vn/-M%C3%A3-FATRANG-gi%E1%BA%A3m-%C4%91%E1%BA%BFn-30k-%C4%91%C6%A1n-99k-%C3%81o-Kho%C3%A1c-Cardigan-K%E1%BA%BB-Thoi-Form-R%E1%BB%99ng-%C4%90en-H%E1%BB%93ng-Ch%E1%BA%A5t-N%E1%BB%89-New-i.711707322.20247263063?sp_atk=9ef8ae5b-022f-4500-a052-233d5d30fc25&xptdk=9ef8ae5b-022f-4500-a052-233d5d30fc25
Quần jean ống loe.quần bò cạp cao ống loe co dãn nhẹ mặc tôn dáng.nhiều màu,₫99.000 - ₫135.000,"Đã bán 27,3k",Hà Nội,https://shopee.vn/Qu%E1%BA%A7n-jean-%E1%BB%91ng-loe.qu%E1%BA%A7n-b%C3%B2-c%E1%BA%A1p-cao-%E1%BB%91ng-loe-co-d%C3%A3n-nh%E1%BA%B9-m%E1%BA%B7c-t%C3%B4n-d%C3%A1ng.nhi%E1%BB%81u-m%C3%A0u-i.410557043.16619940703?sp_atk=84683a82-cfe4-4268-b4c7-35e398b5be13&xptdk=84683a82-cfe4-4268-b4c7-35e398b5be13
Quần Short Nhung Tăm Cho Nữ Ấm Đẹp Hách Dáng 66,₫100.000,"Đã bán 12,5k",Hà Nội,https://shopee.vn/Qu%E1%BA%A7n-Short-Nhung-T%C4%83m-Cho-N%E1%BB%AF-%E1%BA%A4m-%C4%90%E1%BA%B9p-H%C3%A1ch-D%C3%A1ng-66-i.297542131.8824778295?sp_atk=bd441478-f9cb-4e4e-9837-b7a2688270a9&xptdk=bd441478-f9cb-4e4e-9837-b7a2688270a9
Áo thun phông logo tay nam nữ PINK tay lỡ form rộng SANJATI Unisex,₫75.000 - ₫79.000,"Đã bán 11,2k",TP. Hồ Chí Minh,https://shopee.vn/%C3%81o-thun-ph%C3%B4ng-logo-tay-nam-n%E1%BB%AF-PINK-tay-l%E1%BB%A1-form-r%E1%BB%99ng-SANJATI-Unisex-i.120324880.19345581417?sp_atk=fdb3f03a-13cc-4fcd-9c0e-3e5e7eabdeaf&xptdk=fdb3f03a-13cc-4fcd-9c0e-3e5e7eabdeaf
[Mã FATRANG giảm đến 30k đơn 99k] Áo Khoác Cardigan Viền Xanh Nâu FRMLK Form Rộng chew,₫110.000,"Đã bán 12,4k",Hà Nội,https://shopee.vn/-M%C3%A3-FATRANG-gi%E1%BA%A3m-%C4%91%E1%BA%BFn-30k-%C4%91%C6%A1n-99k-%C3%81o-Kho%C3%A1c-Cardigan-Vi%E1%BB%81n-Xanh-N%C3%A2u-FRMLK-Form-R%E1%BB%99ng-chew-i.711707322.18362612598?sp_atk=59b768d3-84f4-4be5-9230-3ae2d172891d&xptdk=59b768d3-84f4-4be5-9230-3ae2d172891d
Áo khoác hoodie zip chất nỉ bông in số 336,₫150.000,"Đã bán 14,7k",Hà Nội,https://shopee.vn/%C3%81o-kho%C3%A1c-hoodie-zip-ch%E1%BA%A5t-n%E1%BB%89-b%C3%B4ng-in-s%E1%BB%91-336-i.32239491.17487923944?sp_atk=136f6d93-0f9a-49f0-80ac-f54ee6a4747c&xptdk=136f6d93-0f9a-49f0-80ac-f54ee6a4747c
[Mã FATRANG giảm đến 30k đơn 99k] Bộ Pijama Chất Lụa Gấm Tay Dài- Quần Dài,₫270.000,"Đã bán 13,5k",Hưng Yên,https://shopee.vn/-M%C3%A3-FATRANG-gi%E1%BA%A3m-%C4%91%E1%BA%BFn-30k-%C4%91%C6%A1n-99k-B%E1%BB%99-Pijama-Ch%E1%BA%A5t-L%E1%BB%A5a-G%E1%BA%A5m-Tay-D%C3%A0i-Qu%E1%BA%A7n-D%C3%A0i-i.361430568.15430269963?sp_atk=869a1b35-09d2-4859-9d30-73b14756d71d&xptdk=869a1b35-09d2-4859-9d30-73b14756d71d
"Áo thun LocalBrand Cemmery , áo thun tay lỡ form rộng dáng oversize SIGNATURE TEE 2.0 ( V61)",₫159.000,"Đã bán 7,3k",Hà Nội,https://shopee.vn/%C3%81o-thun-LocalBrand-Cemmery-%C3%A1o-thun-tay-l%E1%BB%A1-form-r%E1%BB%99ng-d%C3%A1ng-oversize-SIGNATURE-TEE-2.0-(-V61)-i.37101020.20819489851?sp_atk=b79f54d6-4e20-47d8-bf66-32d60e591ec5&xptdk=b79f54d6-4e20-47d8-bf66-32d60e591ec5
[Mã FATRANG giảm đến 30k đơn 99k] Áo Khoác Cardigan W Xanh Mặt Cười Ulzzang,₫95.000,"Đã bán 8,5k",Hà Nội,https://shopee.vn/-M%C3%A3-FATRANG-gi%E1%BA%A3m-%C4%91%E1%BA%BFn-30k-%C4%91%C6%A1n-99k-%C3%81o-Kho%C3%A1c-Cardigan-W-Xanh-M%E1%BA%B7t-C%C6%B0%E1%BB%9Di-Ulzzang-i.711707322.20759259656?sp_atk=51ed7e80-dd81-4f13-afeb-c4671aa92316&xptdk=51ed7e80-dd81-4f13-afeb-c4671aa92316
